업체명,카테고리명,필지고유번호,시도명,시군구명,읍면동명,리명,번지,법정동코드,행정동코드,도로명코드,도로명,도로명상세,경도,위도,폐업여부,전화번호,홈페이지주소,주차가능여부,화장실유무,화장실타입,수유실유무,물품보관함유무,유아거치대유무,휠체어이동가능여부,점자유도로유무,등록일자
부산광역시카약협회,레저/체육/공원,2644010200131539968,부산광역시,강서구,대저2동,,3154-2,2644010200,2644052000,264403136079.0,유통단지1로57번길,34,128.953906511753,35.1633514639571,N,,http://naver.me/5izGfmLJ,Y,Y,"구분,내부",N,Y,N,N,N,2021-08-31
대항어촌체험마을,문화관광/명소,2644012200102450176,부산광역시,강서구,대항동,,245-1,2644012200,2644058000,264404208003.0,가덕해안로1207번길,9-2,128.827654863793,35.0116669864041,N,,http://www.대항어촌체험마을.kr,N,N,,N,N,N,N,N,2021-10-28
가덕도자생동백군,문화관광/명소,2644012200101620224,부산광역시,강서구,대항동,,162-1,2644012200,2644058000,,외양포로,10,128.832032322458,35.0040363359939,N,,http://naver.me/5bX9w3ny,N,N,,N,N,N,N,N,2021-10-26
몽키몽키롤러장,레저/체육/공원,2644010400135980032,부산광역시,강서구,명지동,,3598-2,2644010400,2644053500,264403350851.0,명지국제1로,56-1,128.905372181706,35.0936853408961,N,051-294-2242,https://blog.naver.com/ysrjqhd,Y,Y,"구분,내부",N,N,N,N,N,2021-10-25
명지퍼펙트락볼링,레저/체육/공원,2644010400136019968,부산광역시,강서구,명지동,,3602-2,2644010400,2644053500,264403350853.0,명지국제2로28번길,7,128.908178735191,35.0940341655681,N,051-208-9960,https://blog.naver.com/kdc4940,Y,Y,"구분,내부",N,N,N,N,N,2021-10-25
스타필드시티명지,주요건물기타,2644010400134380032,부산광역시,강서구,명지동,,3438,2644010400,2644053500,264403350859.0,명지국제6로,168,128.918351688519,35.0932120248823,N,1833-9001,https://www.starfield.co.kr/myeongji/main.do,Y,Y,"구분,내부",N,N,N,Y,N,2021-10-21
아이올림픽수영장,레저/체육/공원,2644010400133949952,부산광역시,강서구,명지동,,3395-7,2644010400,2644053500,264403350868.0,명지국제8로,293,128.925001837239,35.0978845704312,N,051-294-7784,http://naver.me/xKQ9ne8E,Y,Y,"구분,내부",N,Y,N,N,N,2021-09-27
백만스크린볼링,레저/체육/공원,2644010400134199808,부산광역시,강서구,명지동,,3420-6,2644010400,2644053500,264403350868.0,명지국제8로,266,128.921764724834,35.0975429018078,N,051-203-8006,http://www.instagram.com/2018_baek_man,Y,Y,"구분,내부",N,N,N,N,N,2021-10-21
금샘해수온천,레저/체육/공원,2644010400133570048,부산광역시,강서구,명지동,,3357-4,2644010400,2644053500,264403350868.0,명지국제8로,237,128.918908833611,35.098503604898,N,051-291-8867,http://geumsam.co.kr/,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-18
멍스파,레저/체육/공원,2644010400134400000,부산광역시,강서구,명지동,,3440-4,2644010400,2644053500,264403350868.0,명지국제8로,286,128.924032354838,35.0973037695274,N,,http://naver.me/G7K2bD46,N,Y,"구분,외부",N,N,N,N,N,2021-10-21
클라이맥스클라이밍,레저/체육/공원,2644010400133579776,부산광역시,강서구,명지동,,3358-7,2644010400,2644053500,264403350868.0,명지국제8로,269,128.922421871673,35.0981433452695,N,051-207-8976,https://climaxgym.modoo.at/,Y,Y,"구분,내부",N,N,N,N,N,2021-10-18
히어로플레이파크,레저/체육/공원,2644010400135869952,부산광역시,강서구,명지동,,3587-1,2644010400,2644053500,264403350869.0,명지국제8로10번길,51,128.901579853542,35.0939053345058,N,051-710-1666,http://www.instagram.com/myungji_hero,Y,Y,"구분,내부",N,N,N,N,N,2021-10-25
킹덤스포렉스,레저/체육/공원,2644010400132320256,부산광역시,강서구,명지동,,3232,2644010400,2644054500,264403136039.0,명지오션시티11로,51,128.901838295241,35.0854634606314,N,051-292-1183,http://naver.me/59jJjBLz,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-14
하비락볼링장,레저/체육/공원,2644010400132380160,부산광역시,강서구,명지동,,3238,2644010400,2644054500,264403136039.0,명지오션시티11로,66,128.903151515338,35.0840552373994,N,051-205-6657,http://naver.me/xNd4NAzc,Y,Y,"구분,내부",N,N,N,N,N,2021-10-14
명지철새탐조대,문화관광/명소,2644010400133080064,부산광역시,강서구,명지동,,3308-3,2644010400,2644054500,264403136042.0,명지오션시티1로,284,128.911807683849,35.0840823330452,N,,http://naver.me/FxLG40g4,Y,N,,N,N,N,Y,N,2021-10-14
명지해수탕,레저/체육/공원,2644010400132369920,부산광역시,강서구,명지동,,3237-13,2644010400,2644054500,264403136045.0,명지오션시티4로,90,128.903259427693,35.0809289065636,N,051-207-1900,http://blog.naver.com/jsy650000,Y,Y,"구분,내부",N,Y,N,Y,N,2021-10-01
명지사우나,레저/체육/공원,2644010400132369920,부산광역시,강서구,명지동,,3237-13,2644010400,2644054500,264403136045.0,명지오션시티4로,90,128.903246260513,35.0809286081315,N,051-207-1900,http://blog.naver.com/jsy650000,N,Y,구분,N,Y,N,N,N,2021-10-01
오션해수탕,레저/체육/공원,2644010400132299776,부산광역시,강서구,명지동,,3230-6,2644010400,2644054500,264403136050.0,명지오션시티9로,15,128.898443710464,35.0885407359643,N,051-271-6455,http://naver.me/5vILFM4w,Y,Y,"구분,내부",N,Y,N,N,N,2021-09-23
명지해수탕,레저/체육/공원,2644010400100009984,부산광역시,강서구,명지동,,1-432,2644010400,2644053500,264404208439.0,신포길,45,128.931649993673,35.1142614770926,N,,http://naver.me/GQ4CRu5G,Y,Y,"구분,내부",N,N,N,N,N,2021-09-16
이야오르카,레저/체육/공원,2644010400114010112,부산광역시,강서구,명지동,,1401-4,2644010400,2644053500,264404208459.0,영강길,87,128.925662798132,35.108442230001,N,051-204-0101,http://naver.me/GNyV2yDP,Y,Y,"구분,내부",N,Y,N,N,N,2021-09-03
녹산주민문화회관,레저/체육/공원,2644011500101150208,부산광역시,강서구,미음동,,115,2644011500,2644056000,264403351973.0,미음국제3로,16,128.873688931317,35.1447368676555,N,,http://naver.me/Gi9Z7Frr,Y,Y,"구분,내부",N,N,N,N,N,2021-10-01
렛츠런파크부산경남국제승마경기장,레저/체육/공원,2644011600118329856,부산광역시,강서구,범방동,,1833,2644011600,2644056000,264402136001.0,가락대로,929,128.880374970895,35.1541320774897,N,,http://naver.me/F0K7l5W3,N,Y,"공용,외부",N,N,N,N,N,2021-11-19
가덕도척화비,문화관광/명소,2644011900103439872,부산광역시,강서구,성북동,,344,2644011900,2644058000,264404853576.0,동선길,135,128.831092760522,35.052279212922,N,,http://naver.me/GAi0dziO,N,N,,N,N,N,Y,N,2021-11-22
알로이보트웍스,레저/체육/공원,2644010900117130240,부산광역시,강서구,송정동,,1713-4,2644010900,2644056000,264403136013.0,녹산산단232로,38-6,128.84258789244,35.0859187366306,N,051-913-5685,http://naver.me/xw6PubiT,N,Y,"구분,내부",N,N,N,N,N,2021-10-26
씨라이프,레저/체육/공원,2644010900117130240,부산광역시,강서구,송정동,,1713-4,2644010900,2644056000,264403136013.0,녹산산단232로,38-6,128.842407598992,35.0859613070707,N,051-973-4947,http://naver.me/GdJR5qBq,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-25
하늘농원,문화관광/명소,2644010700100930048,부산광역시,강서구,죽동동,,93-1,2644010700,2644055000,264403000042.0,호계로,209,128.889605809982,35.2094679582326,N,051-324-0000,http://naver.me/FIg7CEs2,N,N,,N,N,N,N,N,2021-08-30
김해죽도왜성,문화관광/명소,2644010500107870208,부산광역시,강서구,죽림동,,787,2644010500,2644055000,,,,128.899113751591,35.1952293785755,N,051-970-4064,"http://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=23,00470000,21&pageNo=5_2_1_0#",N,N,,N,N,N,N,N,2021-10-06
하이스트CC,레저/체육/공원,2644011400202070016,부산광역시,강서구,지사동,,산207,2644011400,2644056000,264403136005.0,과학산단1로,172,128.815062957522,35.1391483102212,N,051-314-7000,http://www.highestcc.co.kr/,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-22
더샵,레저/체육/공원,2644011400112070144,부산광역시,강서구,지사동,,1207-9,2644011400,2644056000,264403136005.0,과학산단1로,107,128.824512489775,35.141323738121,N,051-941-0413,http://blog.naver.com/drunkdiver,Y,Y,"구분,내부",N,N,N,N,N,2021-10-28
지사광천수사우나휘트니스,레저/체육/공원,2644011400111980032,부산광역시,강서구,지사동,,1198-11,2644011400,2644056000,264404208113.0,과학산단2로10번길,8,128.831396548867,35.1495638393899,N,051-971-8688,http://blog.naver.com/namjk4031,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-01
해라CC,레저/체육/공원,2644011400200110080,부산광역시,강서구,지사동,,산11,2644011400,2644056000,264404208119.0,과학산단로306번길,77,128.838188096542,35.1552937556893,N,051-973-7400,https://www.haeracc.co.kr/,Y,Y,"구분,내부",N,Y,N,Y,N,2021-10-06
천성진성,문화관광/명소,2644012100116129792,부산광역시,강서구,천성동,,1613,2644012100,2644058000,,,,128.818305525709,35.0310771205586,N,051-970-4064,"https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=23,00340000,21&pageNo__=5_1_1_0&pageNo=1_1_2_0",N,N,,N,N,N,N,N,2021-10-06
동래베네스트CC파3,레저/체육/공원,2641010700200390144,부산광역시,금정구,구서동,,산39,2641010700,2641069000,,,,129.096347362518,35.2571666919971,N,051-580-0380,http://naver.me/57w88xPf,Y,Y,"구분,내부",N,N,N,N,N,2021-11-04
황제목욕탕,레저/체육/공원,2641010700107420160,부산광역시,금정구,구서동,,742-4,2641010700,2641069000,264103135008.0,구서중앙로,40,129.087002215019,35.2547290386272,N,051-583-4151,http://naver.me/x1eJquGn,N,Y,"구분,내부",N,Y,N,N,N,2021-11-01
테마스파휘트니스클럽,레저/체육/공원,2641010700102029824,부산광역시,금정구,구서동,,203-5,2641010700,2641069000,264104205021.0,구서중앙로15번길,20,129.089047935479,35.2538670438536,N,051-554-5999,http://www.gspa.co.kr/,Y,Y,"구분,내부",N,Y,N,Y,N,2021-11-02
금정산온천 레포츠,레저/체육/공원,2641010700102029824,부산광역시,금정구,구서동,,203-5,2641010700,2641069000,264104205021.0,구서중앙로15번길,20,129.089046026793,35.2538537253967,N,051-554-5999,http://www.gspa.co.kr/,Y,Y,"구분,내부",N,Y,N,Y,N,2021-11-02
두리스쿠버다이빙,레저/체육/공원,2641010700102029824,부산광역시,금정구,구서동,,203-5,2641010700,2641069000,264104205021.0,구서중앙로15번길,20,129.089050191248,35.2538699894711,N,070-4300-1890,http://naver.me/xL1YNloo,Y,Y,"구분,내부",N,Y,N,Y,N,2021-10-08
금정산온천레포츠,레저/체육/공원,2641010700102029824,부산광역시,금정구,구서동,,203-5,2641010700,2641069000,264104205021.0,구서중앙로15번길,20,129.089062589721,35.253863245019,N,051-554-5999,http://www.gspa.co.kr/,Y,Y,"구분,내부",N,Y,N,Y,N,2021-10-08
금정산온천레포츠,레저/체육/공원,2641010700102029824,부산광역시,금정구,구서동,,203-5,2641010700,2641069000,264104205021.0,구서중앙로15번길,20,129.089057218626,35.2538696266932,N,051-554-5999,http://www.gspa.co.kr/,Y,Y,"구분,내부",N,Y,N,Y,N,2021-10-08
금정산온천레포츠,레저/체육/공원,2641010700102029824,부산광역시,금정구,구서동,,203-5,2641010700,2641069000,264104205021.0,구서중앙로15번길,20,129.089057218626,35.2538696266932,N,051-554-5999,http://www.gspa.co.kr/,Y,Y,"구분,내부",N,Y,N,Y,N,2021-10-08
금샘사우나,레저/체육/공원,2641010700102510080,부산광역시,금정구,구서동,,251-24,2641010700,2641069000,264103130022.0,금강로,494,129.087943748082,35.2514104639561,N,051-513-5578,http://naver.me/xivFvi5S,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-08
금샘사우나,레저/체육/공원,2641010700102519808,부산광역시,금정구,구서동,,252-31,2641010700,2641068000,264103130022.0,금강로,494,129.088010454811,35.2514218092698,N,051-513-5578,http://naver.me/xivFvi5S,N,Y,"구분,내부",N,Y,N,N,N,2021-11-02
수림탕,레저/체육/공원,2641010700102580224,부산광역시,금정구,구서동,,258-8,2641010700,2641068000,264104205043.0,금강로468번길,26,129.089316804028,35.2484519888931,N,051-583-2417,http://naver.me/xlWSVudK,N,Y,"구분,내부",N,Y,N,N,N,2021-11-01
금정탕,레저/체육/공원,2641010700101620224,부산광역시,금정구,구서동,,162-1,2641010700,2641069000,264103135020.0,두실로,5,129.090570152763,35.2602300201667,N,051-515-5456,http://naver.me/57w01A5K,N,Y,"구분,내부",N,Y,N,N,N,2021-11-02
명천탕,레저/체육/공원,2641010700110159872,부산광역시,금정구,구서동,,1016-1,2641010700,2641069000,264104205170.0,두실로45번길,25,129.086062988409,35.2603807079043,N,051-517-3162,http://naver.me/5qRG9EHE,Y,Y,"구분,내부",N,Y,N,N,N,2021-11-04
JOODIVE,레저/체육/공원,2641010700104200192,부산광역시,금정구,구서동,,420-30,2641010700,2641068000,264104205397.0,중앙대로1793번길,2,129.092767329857,35.2445540296772,N,,http://joodive.modoo.at/,N,N,,N,N,N,N,N,2021-10-21
옥수탕,레저/체육/공원,2641010700101729792,부산광역시,금정구,구서동,,173-1,2641010700,2641069000,264104205408.0,중앙대로1944번길,21,129.092527159589,35.257334697843,N,051-518-7044,http://naver.me/F4N7da36,Y,Y,"구분,내부",N,Y,N,N,N,2021-08-31
옥산탕,레저/체육/공원,2641011100100669952,부산광역시,금정구,금사동,,67-1,2641011100,2641055500,264103135010.0,금사로,76,129.111288984655,35.2195247381751,N,051-522-1184,http://naver.me/xFpg4IDJ,N,Y,"구분,내부",N,Y,N,N,N,2021-11-06
삼한사우나,레저/체육/공원,2641011100105610240,부산광역시,금정구,금사동,,561-4,2641011100,2641055500,264103135049.0,중군진로,23,129.10935033577,35.2134232236484,N,051-528-4491,http://naver.me/xevIZUVk,N,Y,"구분,내부",N,Y,N,N,N,2021-09-07
삼한사우나,레저/체육/공원,2641011100105610240,부산광역시,금정구,금사동,,561-4,2641011100,2641055500,264103135049.0,중군진로,23,129.109338255802,35.2134178845476,N,051-528-4491,http://naver.me/xevIZUVk,N,Y,"구분,내부",N,Y,N,N,N,2021-09-07
금정진관아터,문화관광/명소,2641011300102799872,부산광역시,금정구,금성동,,280,2641011300,2641070000,,,,129.054728679493,35.2523987634046,N,,금정진관아터,N,N,,N,N,N,N,N,2021-11-22
금정산성,문화관광/명소,2641011300200010240,부산광역시,금정구,금성동,,산1-1,2641011300,2641070000,264103135027.0,북문로,122,129.052745494443,35.2765460031858,N,051-517-5527,http://busan.grandculture.net/Contents?local=busan&dataType=01&contents_id=GC04201812,N,N,,N,N,N,N,N,2021-11-19
오마이랜드 부산,문화관광/명소,2641011300101510144,부산광역시,금정구,금성동,,151,2641011300,2641070000,264103006028.0,산성로,470,129.05388762935,35.2500203413118,N,051-517-5111,http://naver.me/G0f4SdB1,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-01
산성문화체험촌,문화관광/명소,2641011300104779776,부산광역시,금정구,금성동,,478,2641011300,2641070000,264104205377.0,죽전2길,58,129.057525051421,35.2545582687771,N,051-513-6848,http://sanseong.invil.org/,Y,Y,내부,N,N,N,N,N,2021-09-07
한국이슬람교,종교,2641010400100299776,부산광역시,금정구,남산동,,30-1,2641010400,2641067000,264103135009.0,금단로,113-13,129.092211642126,35.2599952911699,N,051-518-9991,http://www.koreaislam.org/,Y,Y,"구분,내부",N,N,N,N,N,2021-11-22
금샘탕,레저/체육/공원,2641010400106809856,부산광역시,금정구,남산동,,681,2641010400,2641067000,264104205089.0,금샘로578번길,46,129.087344149739,35.2731220067344,N,051-517-0915,https://www.instagram.com/geumsaemtang,N,Y,내부,N,Y,N,N,N,2021-10-08
대월탕,레저/체육/공원,2641010400100969984,부산광역시,금정구,남산동,,97-8,2641010400,2641067000,264104205186.0,범어천로31번길,11,129.090141138271,35.2684659866235,N,051-581-6841,http://naver.me/FdsH9tEc,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-28
대월탕,레저/체육/공원,2641010400100969984,부산광역시,금정구,남산동,,97-8,2641010400,2641067000,264104205186.0,범어천로31번길,11,129.090132469081,35.2684442821705,N,051-581-6841,http://naver.me/GpJBZD4z,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-07
소설가김정한선생생가,문화관광/명소,2641010400106619904,부산광역시,금정구,남산동,,662,2641010400,2641067000,264103135053.0,팔송로,60-6,129.085718047996,35.2723895185348,N,051-515-1655,http://naver.me/FNmRCpN9,N,N,,N,N,N,Y,N,2021-11-22
사해탕,레저/체육/공원,2641010400100550144,부산광역시,금정구,남산동,,55-1,2641010400,2641067000,264104205451.0,팔송로7번길,59,129.091840341116,35.2695037234067,N,051-512-1366,http://naver.me/5AmyajOa,Y,Y,"구분,내부",N,Y,N,Y,N,2021-08-26
노포동고분군,문화관광/명소,2641010200101420032,부산광역시,금정구,노포동,,142-1,2641010200,2641066500,,,,129.098714937665,35.2831773775183,N,051-519-4082,http://naver.me/5IFjqZGg,N,N,,N,N,N,N,N,2021-11-22
부산CC,레저/체육/공원,2641010200103680000,부산광역시,금정구,노포동,,368,2641010200,2641066500,264104205417.0,중앙대로2327번길,112,129.094152804155,35.2993843319823,N,051-509-0707,http://www.bscc.co.kr/,Y,Y,"구분,내부",N,Y,N,N,N,2021-08-30
홍법사템플스테이,종교,2641010100110289920,부산광역시,금정구,두구동,,1029,2641010100,2641063500,264104205159.0,두구로33번길,202,129.110628764032,35.3027403041528,N,051-508-0345,http://www.busanbuddhism.net/,N,Y,"공용,외부",N,N,N,N,N,2021-11-19
선두구동목욕탕,레저/체육/공원,2641010100106010112,부산광역시,금정구,두구동,,601-57,2641010100,2641063500,264103130034.0,체육공원로,529-24,129.107927493625,35.2881005903315,N,051-508-8786,http://naver.me/F36wKbyq,N,Y,"구분,내부",N,Y,N,Y,N,2021-08-30
스포원파크금정경륜장,레저/체육/공원,2641010100116409856,부산광역시,금정구,두구동,,1641,2641010100,2641063500,264104205437.0,체육공원로399번길,324,129.105154271005,35.290320342912,N,,https://www.spo1.or.kr/,Y,Y,"구분,내부",Y,N,N,Y,Y,2021-10-12
스포원파크,레저/체육/공원,2641010100116409856,부산광역시,금정구,두구동,,1641,2641010100,2641063500,264104205437.0,체육공원로399번길,324,129.105352742748,35.2924412946903,N,,https://www.spo1.or.kr/,Y,Y,"구분,내부",Y,N,N,Y,Y,2021-10-12
스포원재난안전체험관,문화관광/명소,2641010100116409856,부산광역시,금정구,두구동,,1641,2641010100,2641063500,264104205437.0,체육공원로399번길,324,129.107042054004,35.2891217714229,N,,https://www.spo1.or.kr/,Y,Y,"구분,내부",N,N,N,N,N,2021-10-20
재난안전체험관,문화관광/명소,2641010100116409856,부산광역시,금정구,두구동,,1641,2641010100,2641063500,264104205437.0,체육공원로399번길,324,129.107042054004,35.2891217714229,N,,https://www.spo1.or.kr/,Y,Y,"구분,내부",N,N,N,N,N,2021-10-20
스포원어린이교통나라,문화관광/명소,2641010100116409856,부산광역시,금정구,두구동,,1641,2641010100,2641063500,264104205437.0,체육공원로399번길,324,129.107042054004,35.2891217714229,N,1577-0880,http://www.spo1.or.kr/,Y,Y,"구분,외부",N,N,N,N,N,2021-10-20
스포원워터파크,레저/체육/공원,2641010100116409856,부산광역시,금정구,두구동,,1641,2641010100,2641063500,264104205437.0,체육공원로399번길,324,129.105186048318,35.293215982885,N,1577-0880,http://www.spo1.or.kr/,Y,Y,"구분,내부",Y,Y,N,N,N,2021-10-20
부산지방공단스포원,문화관광/명소,2641010100116409856,부산광역시,금정구,두구동,,1641,2641010100,2641063500,264104205437.0,체육공원로399번길,324,129.104721353476,35.2931280253307,N,1577-0880,http://www.spo1.or.kr/,Y,Y,"구분,내부",Y,N,N,Y,Y,2021-10-12
스포원파크어린이교통나라,문화관광/명소,2641010100116409856,부산광역시,금정구,두구동,,1641,2641010100,2641063500,264104205437.0,체육공원로399번길,324,129.104160117787,35.2938484428573,N,1577-0880,http://www.spo1.or.kr/,Y,Y,"구분,외부",N,N,N,N,N,2021-10-20
세광목욕탕,레저/체육/공원,2641010900103040000,부산광역시,금정구,부곡동,,304-12,2641010900,2641057000,264103135001.0,가마실로,17,129.090960512416,35.2250163203044,N,051-515-0096,http://naver.me/xswQPbSY,N,Y,"구분,내부",N,Y,N,N,N,2021-10-28
세광탕,레저/체육/공원,2641010900103040000,부산광역시,금정구,부곡동,,304-12,2641010900,2641057000,264103135001.0,가마실로,17,129.0909625555,35.2250140394635,N,051-515-0096,http://naver.me/xKQSp1dJ,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-18
보덕사,종교,2641010900106970112,부산광역시,금정구,부곡동,,697,2641010900,2641057000,264104205137.0,동부곡로12번길,108,129.098320989248,35.2252736642683,N,,http://naver.me/xPIsFO26,Y,Y,"구분,외부",N,N,N,N,N,2021-10-19
현수탕,레저/체육/공원,2641010900102810112,부산광역시,금정구,부곡동,,281-1,2641010900,2641058000,264104205142.0,동부곡로27번길,57,129.094935524084,35.2281138047104,N,,http://naver.me/GUvmXpOF,Y,Y,"구분,내부",N,Y,N,N,N,2021-11-04
대림헬스사우나,레저/체육/공원,2641010900109629952,부산광역시,금정구,부곡동,,963-3,2641010900,2641059100,264103135018.0,동현로,108,129.095005116707,35.2190663943936,N,051-517-6183,http://naver.me/GrS6VBve,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-19
