,명칭,주소,위도,경도,문의 및 안내,주차시설
33,수영사적공원,부산광역시 수영구 수영성로 43(수영동),35.1706944259,129.1145032317,051-752-2947,있음(공영주차장)
34,대천천,부산 북구 화명동 172일대,35.2437901894,129.0278976536,051-309-4382,
35,을숙도 공원,부산광역시 사하구 낙동남로 1240,35.0937941809,128.9353792487,051-209-2031,있음(에코센터 공영주차장/을숙도 공영주차장)
36,광안리해변 테마거리,부산광역시 수영구 민락동(민락동),35.1551657503,129.1221363273,051-610-4848,공영주차장 이용
37,스포원파크,부산광역시 금정구 체육공원로399번길 324,35.289161567,129.1070700628,1577-0880,주차가능
38,선암사(부산),부산광역시 부산진구 백양산로 138(부암동),35.1768587956,129.0275328529,051-803-7573,주차 가능
39,옥련선원,부산광역시 수영구 광남로257번길 58(민락동),35.161379026,129.1266024351,051-757-9066,있음
40,부산광안대교,부산광역시 해운대구 수영강변대로 203,35.1449947568,129.1270084045,051-780-0077,
41,황령산,부산광역시 남구 황령산로 391-39(대연동),35.1579341561,129.0827285679,070-7543-5249,주차가능
42,대항 어촌체험 휴양마을,부산광역시 강서구 가덕해안로1207번길 9-2,35.0117208424,128.8276908389,010-3570-1036,
43,40계단 문화관광테마거리,부산광역시 중구 40계단길 일대(중앙동4가),35.1040698693,129.0354119335,051-600-4046,없음
44,동백공원,부산광역시 해운대구 우동(동백섬),35.1539081129,129.1521170882,051-749-4491,있음
45,부산 올림픽동산,부산광역시 해운대구 APEC로 58,35.1644621364,129.1331740011,051-749-5600,
46,부산 암남공원,부산광역시 서구 암남공원로 185(암남동),35.0616492424,129.0151037432,051-240-4538,주차 가능
47,홍법사(부산),부산광역시 금정구 두구로33번길 202(두구동),35.3027517754,129.1106443769,051-508-0345,주차 가능
48,송도마을,부산 서구 암남동,35.0679652024,129.0151035714,암남동 주민센터 051-240-6661,
49,금련산,부산광역시 수영구 광안동,35.1602230601,129.0974161159,051-253-8253,
50,오륙도 등대,부산광역시 남구 오륙도로 130(용호동),35.0912035523,129.1269154412,051-607-6395,
51,가덕도 등대,부산광역시 강서구 외양포로 10,35.0006471157,128.8295937487,051-971-9710,
52,청사포,부산광역시 해운대구 중동,35.1604442358,129.1922189785,청사포다릿돌전망대 관광안내소 051-749-5720,주차 가능
53,좌수영성지,부산광역시 수영구 수영성로 43(수영동),35.1743106361,129.1117117085,051-610-4067,있음(공영주차장)
54,삼락생태공원,부산광역시 사상구 낙동대로 1231,35.16914477,128.9732044604,"삼락생태공원관리사무소 : 051-303-0048, 051-303-0049",있음(공영주차장)
55,동래향교,부산광역시 동래구 동래로 103,35.2077202717,129.0841215255,051-552-4160,주차가능
56,충렬탑(부산 충렬사),부산광역시 동래구 충렬대로 345(안락동),35.2012128903,129.0961401022,051-888-7211,
57,태종대 전망대,부산광역시 영도구 전망로 24,35.0503990718,129.0883893471,051-403-5558,"* 입구 주차장 (65면, 중·대형버스 주차)<br />
* 신설 주차장 (405면, 승용차 주차)<br />
※ 운영시간 : 09:00~18:00 (그 외 시간 무료주차) / 11:00~20:00 (수연주차장)"
58,남도해양관광열차 S-트레인(S-train),부산광역시 동구 중앙대로 206,35.1152715223,129.0424332391,1544-7788,
59,부산 가톨릭 특성화 거리,부산광역시 금정구 오륜대로 57(부곡동),35.2440581161,129.0976415723,부산가톨릭대학교 051-515-5811,
60,옛백제병원,부산광역시 동구 중앙대로209번길 16(초량동),35.1163602303,129.0392001574,051-440-4064,
61,김민부전망대,부산광역시 동구 영초윗길26번길 11(초량동),35.1177100066,129.0352504641,051-440-4342,
62,남선창고터,부산광역시 동구 초량로13번길 53(초량동),35.1167962983,129.0395112298,051-440-4064,
63,168계단,부산광역시 동구 영초길197번길 9,35.1171295181,129.0353643591,051-253-8253,
64,유치환 우체통 전망대,부산광역시 동구 망양로580번길 2(초량동),35.122112265,129.0338310231,051-469-9818,없음
65,부산 부평 족발 골목,부산광역시 중구 광복로12번길 3,35.0992146927,129.0264572886,051-441-3121,
66,부산 자갈치 양곱창 골목,부산광역시 중구 구덕로 73(남포동6가),35.0973677005,129.0277461155,,
67,부산 감천문화마을,부산광역시 사하구 감내2로 203,35.0975007038,129.0106253789,051-204-1444,
68,허브랑야생화,부산광역시 금정구 북문로 73,35.254258903,129.0518675,051-515-0130,
69,부산 복천동 고분군,부산광역시 동래구 복천로 66,35.2068732659,129.0906820891,051-554-4263,
70,더베이101,부산광역시 해운대구 동백로 52(우동),35.1566855796,129.1521197895,051-726-8888,
71,부산영화촬영스튜디오,부산광역시 해운대구 해운대해변로 52(우동),35.1625180008,129.1380958485,051-720-0323,인근 공영주차장 이용
72,아홉산숲,부산광역시 기장군 철마면 미동길 37-1,35.2871407693,129.1715589466,051-721-9183,
73,F1963,부산광역시 수영구 구락로123번길 20,35.1767854293,129.1155140878,051-756-1963,있음
74,부산 영화의 전당,부산광역시 해운대구 수영강변대로 120,35.170794647,129.1270576924,051-780-6000,있음 (소형 501면)
75,맥도생태공원,부산광역시 강서구 공항로 500,35.1523490931,128.9549259546,051-941-9728,주차가능
76,화명생태공원,부산광역시 북구 화명동,35.2310995032,129.0039112029,051-364-4127,
77,키자니아 부산,부산광역시 해운대구 센텀4로 15 센텀시티 몰,35.1699003261,129.1283187187,1544-5110,있음
78,부산 송도해상케이블카,부산광역시 서구 송도해변로 171(암남동),35.0766810472,129.0234248332,051-247-9900,주차 가능
79,절영해안산책로,부산광역시 영도구 해안산책길 52,35.0812475294,129.0411870536,051-419-4064,
80,부산대교,부산광역시 영도구 남항로9번길 41,35.0960180495,129.0385091058,051-600-4000,
81,75광장,부산광역시 영도구 절영로 370(동삼동),35.0706212544,129.0582219729,051-419-4044,
82,깡깡이 예술마을,부산광역시 영도구 대평북로 36(대평동2가),35.0932043968,129.0342206663,051-418-3336,없음
83,팬스타부산주말원나잇크루즈,부산광역시 동구 충장대로 206(초량동),35.1177630345,129.0491659191,1577-9996,있음 (부산항국제여객터미널)
84,외양포 포진지,부산광역시 강서구 대항동,35.0056381443,128.8251995524,051-970-4066,
85,초량 이바구길,부산광역시 동구 초량상로 49(초량동),35.1165712633,129.036264296,051-440-4284,
86,장림포구,부산광역시 사하구 장림로93번길 72,35.0793627568,128.9513754709,051-220-4502,
87,영도 흰여울해안터널,부산 영도구 영선동4가 1044-6,35.0779590845,129.0453201165,051-403-1861,
88,국립 달음산자연휴양림,부산광역시 기장군 일광면 화용길 299-106,35.3027559437,129.1854434167,051-722-3023,주차 가능(44대)
89,구상반려암 (부산 국가지질공원),부산광역시 부산진구 전포동,35.1631194916,129.0721765659,부산국가지질공원 051-888-3631~6,
90,낙동강하구 (부산 국가지질공원),부산광역시 사하구 낙동남로 1240(하단동),35.104551505,128.9460085869,051-209-2000,가능
91,두도 (부산 국가지질공원),부산광역시 서구 암남동,35.0490923097,129.0148985467,051-888-3636,
92,두송반도 (부산 국가지질공원),부산광역시 사하구 다대동(다대동),35.0595961635,128.9862007564,부산국가지질공원 051-888-3636,
93,몰운대 (부산 국가지질공원),부산광역시 사하구 다대동산 144,35.0402813591,128.9699332506,051-209-2000,
94,백양산 (부산 국가지질공원),부산광역시 부산진구 새싹로 295,35.1853692278,129.0424174355,진구청 051-605-4000,
95,송도반도 (부산 국가지질공원),부산광역시 서구 암남동,35.0659655069,129.019511576,부산국가지질공원 051-888-3636,
96,장산 (부산 국가지질공원),부산광역시 해운대구 장산로 331-18,35.1811053657,129.168189943,051-851-7851,
97,마린시티,부산광역시 해운대구 우동,35.1560327184,129.1436566548,해운대 관광안내소 051-749-5700,
98,북맛골,부산광역시 금정구 장전동,35.2369919623,129.0825597462,051-519-4423,
99,금정산성마을 먹거리촌,부산광역시 금정구 금성동,35.2513870387,129.0538229642,054-518-0014,
100,부산 치유의 숲,부산광역시 기장군 철마면 철마천로 101,35.2690086937,129.1298103057,방문자센터 051-976-2831~3,
101,안데르센 동화마을,부산광역시 기장군 장안읍 장안로 211,35.3601199691,129.2399148578,051-709-4000,주차가능
102,회동수원지,부산광역시 금정구 개좌로 147,35.2252550204,129.116648768,051-519-4081,
103,호천마을,부산광역시 부산진구 엄광로 491(범천동),35.1442823259,129.0512427918,,
104,죽성성당(드림세트장),부산광역시 기장군 기장읍 죽성리 134-7,35.2412223365,129.2478869088,051-709-4082,
105,부산엑스더스카이,부산광역시 해운대구 달맞이길 30엘시티 랜드마크타워 98~100F,35.1613825711,129.168043276,051-731-0098~9,소형/대형 주차 가능
106,역사의 디오라마,부산광역시 중구 영주로 93,35.1146852898,129.0322896932,부산종합관광안내소 051-253-8253,주차가능
107,해운대 블루라인파크,부산광역시 해운대구 청사포로 116(중동),35.161260796,129.1913940274,051-701-5548,가능(미포정거장/문탠로드/청사포/송정정거장)
108,승학산,부산광역시 사하구 당리동 산 45-1(당리동),35.1140927207,128.9795998493,051-220-4082,
109,땅뫼산,부산광역시 금정구 오륜대로 260-1(오륜동),35.2472747896,129.1174425369,051-519-4081,
110,영도 청학배수지 전망대,부산광역시 영도구 와치로 36(청학동),35.0883915225,129.0600713277,051-419-4000,
111,우암동 도시 숲,부산광역시 남구 우암동 127-142,35.1274929334,129.0726358346,부산종합관광안내소 051-253-8253,
112,흰여울문화마을,부산광역시 영도구 흰여울길 379,35.0772758472,129.0463700445,051-419-4067,절영해안산책로 입구 공영 주차장 (유료)
113,기장해녀촌(연화리횟촌),부산광역시 기장군 기장읍 연화1길 184,35.2184217439,129.2281142588,기장군 문화관광과 051-409-4066,
114,광안리 SUP Zone,부산광역시 수영구 남천동,35.1477386656,129.114673291,051-610-4951,"없음(수영구청 주차장 이용, 광안리해양레포츠센터 이용객은 레포츠센터 주차장 이용)"
115,이중섭거리,부산광역시 동구 범일1동 1422-82,35.1403355632,129.0521955944,051-440-4815,
116,가덕도,부산광역시 강서구 천성동 308-2,35.022963833,128.8169442487,051-971-9710 (가덕도 등대),있음 (대항공영주차장 기준 소형 6-70대 정도 주차 가능)
117,월전포구(월전방파제),부산광역시 기장군 기장읍 월전해안길 31,35.2383253882,129.2451761137,051-709-4085,
118,죽성항(황학대),부산광역시 기장군 기장읍 죽성리 30-33,35.2426471573,129.246848071,051-709-4085,있음
119,영주하늘눈전망대,부산광역시 중구 영주동 91-7(영주동),35.1146102693,129.0307259427,051-600-4000,
120,천마산하늘전망대,부산광역시 서구 해돋이로183번길 17-4(초장동),35.093648481,129.0173415667,051-240-4000,
121,캐비네 드 쁘아쏭(미디어 갤러리),부산광역시 기장군 기장읍 기장해안로 268-31,35.2002043557,129.228925803,051-604-7000,"있음(유료/기본요금 3,000원/관람객께 주차권 증정)"
122,황령산 전망대,부산광역시 남구 황령산로 391-39(대연동),35.1579341561,129.0827285679,070-7542-7080,
123,아미산 전망대,부산광역시 사하구 다대낙조2길 77(다대동),35.0527909028,128.9608087041,051-265-6863,
124,청학 수변공원,​부산 영도구 청학동 217-43,35.0977293865,129.0611626448,051-419-4041,없음
125,영도 하늘전망대,부산광역시 영도구 절영로 321(동삼동),35.0719627089,129.0548555626,051-419-4000 (영도구 문화관광과),주차 가능(공영주차장)
126,대항전망대,부산광역시 강서구 대항동 산1-4(대항동),35.0171590759,128.8251214716,051-970-4062,주차가능
127,천성항 방파제등대,부산광역시 강서구 천성동 646-2,35.0282187628,128.814891508,051-609-6807,주차가능
128,구덕문화공원,부산광역시 서구 꽃마을로163번길 73(서대신동3가),35.1264529287,129.0057694569,051-240-3521~6,주차가능
129,대신공원,부산광역시 서구 보수대로320번길 59(서대신동3가),35.1216925172,129.014810467,051-970-4062,주차가능
130,부산민주공원,부산광역시 중구 민주공원길 19(영주동),35.1097246563,129.0280540854,051-790-7400,있음
131,중앙공원,부산광역시 서구 망양로193번길 187(동대신동2가),35.112327142,129.0279956864,051-860-7800,있음
132,장미원,부산 북구 화명동 2280,35.2333965778,129.0099161725,051-309-4521,없음
133,구포 어린이교통공원,부산광역시 북구 낙동북로 687(구포동),35.2010694626,128.999956814,051-309-4805,있음
134,화명수목원,부산광역시 북구 산성로 299(화명동),35.2510535364,129.0426767218,051-362-0261,가능 (185대)
135,소두방공원,부산광역시 기장군 정관읍 정관중앙로 100,35.3253311206,129.1817597786,051-709-4085,
136,신평소공원,부산광역시 기장군 일광면 일광로 582-47,35.2927167929,129.2600538672,051-709-4085,있음 (5대 / 해변공터주차장 이용 가능)
137,장안사계곡,부산광역시 기장군 장안읍 장안로 482,35.3744348966,129.2328150778,051-709-4085,있음
138,은진사,부산광역시 기장군 장안읍 고무로 271-47,35.3360483529,129.2765262292,051-727-3766,있음
139,홍연폭포,부산 기장군 철마면 웅천리 879-47,35.2958702558,129.1667035724,051-709-4085,없음
140,송상현광장,부산광역시 부산진구 동성로112번길 121-1(전포동),35.1651886075,129.0669241885,051-850-6081,주차가능
141,오륜대전망대,부산광역시 금정구 오륜대로 229(오륜동),35.2483912516,129.1131428804,051-519-4081,주차가능
142,미포,부산광역시 해운대구 달맞이길62번길 28(중동),35.1589051184,129.1706181201,051-746-0969,없음
143,삼익비치수변공원,부산광역시 수영구 광안해변로54번길 222(남천동),35.1462277346,129.1152455049,051-441-6565(부산시 관광안내소),주차가능
144,오시리아 해안산책로,부산광역시 기장군 기장읍 시랑리 62-22,35.1974852256,129.2294674968,051-709-4000,주차가능
145,센텀 APEC나루공원,부산광역시 해운대구 수영강변대로 85(우동),35.1679171964,129.1273244146,051-441-6565(부산시 관광안내소),주차가능
146,안심치유정원,부산광역시 금정구 체육공원로 545(두구동),35.2898226616,129.1101753296,051-911-7650,주차가능
147,곰내연밭,부산광역시 기장군 철마면 웅천리 254-4,35.2954092493,129.1695450043,051-709-4000,없음
148,송정역,부산광역시 해운대구 송정중앙로8번길 60(송정동),35.1809809765,129.2003621491,051-441-6565(부산시 관광안내소),주차가능
149,가덕해양파크휴게소,부산광역시 강서구 거가대로 2571(천성동),35.0230581337,128.809630994,051-715-2200,있음
150,해운대수목원,부산 해운대구 석대동 26,35.2304408466,129.1326250124,051-888-7131,있음
151,해리단길,부산광역시 해운대구 우동 510-7,35.1648792094,129.1576301962,051-749-2909,있음(공영주차장)
152,낙동강 생태탐방선,부산광역시 사하구 하단동 1149-10,35.1102509254,128.9492081536,051-294-2135,주차가능(공영주차장)
153,대연수목전시원,부산광역시 남구 신선로447번길 24(대연동),0.0,0.0,051-888-6870,주차가능
154,부산라벤더팜,부산광역시 기장군 철마면 개좌로 679-30,35.2590462559,129.1478284558,051-721-6253,주차가능
155,다대포항,부산 사하구 다대동 375-17,35.0524135802,128.9832650955,1330,있음
156,미포항,부산광역시 해운대구 달맞이길62번길 33-1(중동),35.1584551702,129.1706820162,1833-5880,있음
157,부산남항,부산광역시 영도구 대평북로 6(대교동1가),35.0919018203,129.0372454392,1330,있음
158,관음사,부산광역시 사하구 제석로79번길 33(당리동),35.1091043203,128.9758058697,051-294-9300,주차가능
159,국제크루즈터미널,부산광역시 영도구 해양로301번길 17(동삼동),35.080801057,129.0791837627,051-405-6154,주차가능
160,감지해변,부산광역시 영도구 감지길 110(동삼동),35.0625336062,129.0764900502,051-419-4064,있음 (태종대입구 공용주차장) / 주차요금 있음
161,감천동편부두 / 감천항,부산광역시 서구 원양로 6(암남동),35.0547971892,129.0128152394,1330,있음 
162,사상근린공원,부산광역시 사상구 가야대로 35(감전동),35.1521995132,128.9768740479,070-4010-8130,있음 
163,대항선착장,부산광역시 강서구 대항동 393-3(대항동),35.012329077,128.825999303,,있음
164,하리선착장,부산광역시 영도구 동삼동 764-7,35.0704133733,129.0815032887,051-120,있음
165,가야공원 / 가야산책공원,부산광역시 부산진구 엄광로 118(가야동),35.1483453258,129.0276891748,051-605-4000,없음 (인근도로변에 주차 가능)
166,외양포항,부산광역시 강서구 천성동 산 6-98,35.0305993811,128.8329509833,051-970-4444,있음 (약 60대)
167,연태봉,부산광역시 강서구 천성동 산 6-98,35.0305993811,128.8329509833,051-970-4444,약 60대
168,정란각/문화공감수정,부산광역시 동구 홍곡로 75(수정동),35.1255870389,129.0426662706,051-441-0740,없음(주변 유료 주차장 이용)
169,가덕도대항인공동굴,부산광역시 강서구 대항동 393-9(대항동),35.0133095493,128.8274685924,1330,있음
170,월전장어구이촌,부산광역시 기장군 기장읍 죽성리 154-21,35.2381614989,129.2441706504,051-709-5115,
171,금정산성 막걸리,부산광역시 금정구 산성로 453(금성동),35.2504233066,129.0564227644,051-517-0202,주차가능
172,화전공원,부산광역시 강서구 화전산단5로 84(화전동),35.1056557115,128.8791615988,051-970-4531,가능 (약 25대)
173,델타루 (에코델타시티 전망대),부산광역시 강서구 대저2동 5438-3,35.1364113857,128.9220570282,051-220-0713,가능 (소형 약 20여대)
174,캐니언파크 부산,부산광역시 남구 전포대로 133(문현동),35.1483043601,129.0654692218,051-710-1022,있음(지하주차장)
175,부산롯데월드,부산광역시 기장군 동부산관광로 42,35.1960684107,129.212999524,1661-2000,주차가능
176,용호별빛공원,부산광역시 남구 분포로 66-40,35.1322571676,129.1201732372,051-607-4042,없음
177,동래온천길(온천천 산책코스),"부산광역시 동래구 온천천로 451도시철도 온천장역(부산광역시 동래구 중앙대로 1520), 도시철도 동래역(부산광역시 동래구 중앙대로 1324), 온천천 카페거리(부산광역시 동래구 온천천로 451)",35.1916279693,129.1024592605,051-550-4092,없음(도시철도 온천장역·동래역 및 동해남부선 안락역 공영주차장 이용 가능)
178,해운대 그린레일웨이 (미포~송정 구간),부산광역시 해운대구 중동달맞이길62번길 11 (미포정거장),35.1603383007,129.1711291475,"(해운대구청 늘푸른과) 749-4536 <br>
 (해운대구청 관광문화과) 749-4085","(공영주차장) 문탠로드 공영주차장,  청사포 공영주차장  (해변열차 주차장) 미포정거장, 송정정거장"
179,부산 칠드런스 뮤지엄,부산광역시 기장군 기장해안로 172스타테라스건물 2층,35.1920578383,129.2177964393,051-711-8862,있음 (3~9층까지 주차장)
180,통일아시아드공원,부산광역시 사하구 다대동1585,35.0594543994,128.9800346295,051-220-4061(사하구청 문화관광과),있음
181,녹산고향동산,부산광역시 강서구 범방4로 132,35.154317052,128.8860013488,051-970-4061,있음
182,오륙도해맞이공원,부산광역시 남구 용호동950-1,35.1016495355,129.1230988205,051-607-6395,있음(무료)
183,이기대 섭자리,부산광역시 남구 이기대공원로 11,19.69442748,117.9925662504,051-607-6399,있음(무료)
184,달맞이동산,부산광역시 해운대구 달맞이길 184 청사포공원해월정화장실,35.1571305311,129.1821532774,051-749-4084,있음 / 주차요금 없음
185,대천공원,부산광역시 해운대구 장산로 331-18 대천공원2호화장실,35.1813775511,129.1678566312,051-749-4000,있음 / 주차요금 없음
186,감천사(부산),부산광역시 연제구 묘봉산로 40(연산동),35.1833036953,129.0912632411,051-852-6904,주차 가능
187,국청사(부산),부산광역시 금정구 북문로 42,35.2538895578,129.0549922383,051-517-5003,없음
188,금수사(부산),부산광역시 동구 망양로 533-1(초량동),35.1204207111,129.029678653,051-467-3316,주차 가능
189,금정선원,부산광역시 동래구 우장춘로 157-59(온천동),35.2216351938,129.0741053488,051-555-1208,없음
190,마하사(부산),부산광역시 연제구 봉수로 138,35.1639058017,129.0876863061,마하사 051-852-2436,주차 가능
191,미륵사(부산),부산광역시 금정구 북문로 126(금성동),35.274006634,129.0489255467,051-508-4707,없음
192,척판암(부산),부산광역시 기장군 장안읍 장안로 490-156,35.3760512352,129.2249379417,051-727-3547,장안사 주차장 이용
193,법륜사(부산),부산광역시 동래구 동래로 162(칠산동),35.2037846774,129.0882184992,051-553-7771,있음
194,소름요,부산광역시 기장군 기장읍 기장해안로 1014(기장읍),35.2433747592,129.2417734921,051-722-0018,
195,영주암(부산),부산광역시 수영구 망미배산로76번나길 15(망미동),35.1766545764,129.0986683346,051-754-2210,주차 가능
196,신세계 센텀시티,부산광역시 해운대구 센텀남대로 35,35.1687865886,129.1297408475,1588-1234,"있음(4,000대)"
197,청량사(부산),부산광역시 강서구 제도로 29,35.117757865,128.9190855715,051-271-2774,있음
198,낙동강하구에코센터,부산광역시 사하구 낙동남로 1240,35.1044292944,128.9458947113,051-209-2000,"에코센터 공영주차장 (08:00~20:00) - 소형 132면 / 대형 8면<br />
을숙도 공영주차장 (24시간 운영) - 소형 542면"
199,해운대 동백섬,부산광역시 해운대구 동백로 67(우동) 일대,35.153991438,129.1521809693,051-749-7621,있음
200,금정산 (부산 국가지질공원),부산광역시 금정구 금성동,35.268448978,129.0518587773,부산국가지질공원 051-888-3636,
201,다대포해수욕장,부산광역시 사하구 몰운대1길 14,35.0464195263,128.9680332493,051-220-5895,있음
202,장안사(부산),부산광역시 기장군 장안읍 장안로 482,35.3745682165,129.2328734022,051-727-2393,주차 가능
203,무민사,부산광역시 남구 무민사로33번길 11-15,35.112841937,129.0802994576,051-635-9134,
204,태종사,부산광역시 영도구 전망로 119(동삼동),35.0560095813,129.0897751849,051-405-4848,있음
205,초량교회,부산광역시 동구 초량상로 53(초량동),35.1171434347,129.0369614421,051-465-0533,
206,해동 용궁사(부산),부산광역시 기장군 기장읍 용궁길 86,35.188283368,129.2235599308,051-722-7744,주차 가능
207,부산 중앙공원,부산광역시 서구 망양로193번길 187(동대신동2가),35.1121382707,129.0278123742,051-860-7800,있음 (110면)
208,친환경 스카이웨이 전망대(이바구길),부산광역시 동구 초량동,35.1213095185,129.0306535435,051-441-3121,
209,민주공원,부산광역시 중구 민주공원길 19(영주동),35.1093802515,129.0281096457,051-790-7400,있음
210,태종대온천찜질방,부산광역시 영도구 태종로 808,35.0645889744,129.0787786847,051-404-9001,있음
211,평화공원,부산광역시 남구 신선로447번길 10,35.1253214518,129.0995779953,051-607-6362,"있음(소형, 대형 가능)"
212,공수어촌체험마을,부산광역시 기장군 기장읍 공수해안길 13-2,35.1844585662,129.2111944455,051-723-1919,주차 가능
213,동래온천 노천족탕,부산광역시 동래구 금강공원로26번길 21(온천동),35.2200382869,129.0814741955,051-550-6602,있음
214,금강식물원,부산광역시 금정구 장전동 산 43-1,35.2264763727,129.077063292,051-582-3284,있음
215,대변마을,부산광역시 기장군 기장읍 기장해안로 605,35.2248238474,129.2303944389,051-253-8253,주차 가능
216,영도 등대,부산광역시 영도구 전망로 181,35.0523933666,129.0923639479,051-405-1201,
217,영도대교,부산광역시 영도구 태종로 46(대교동1가),35.0940710125,129.0367343133,1670-8114,
218,송정 죽도공원,부산광역시 해운대구 송정해변로 1-23,35.1799561988,129.206133898,송정관광안내소 051-749-5800,주차가능
219,금강암(부산),부산광역시 금정구 범어사로 254(청룡동),35.2818532794,129.0652933488,051-508-4509,
220,문화공감 수정(부산 수정동 일본식 가옥),부산광역시 동구 홍곡로 75(수정동),35.1255870389,129.0426662706,문화공감 수정 051-441-0004,주차가능(수정1동 공용주차장)
221,소림사(부산),부산광역시 동구 초량상로65번길 7(초량동),35.1176489316,129.036853104,"051-253-8253,051-468-4497",
222,부산 진지성,부산광역시 동구 자성로 99(범일동),35.1357667829,129.0604644448,051-711-6566,
223,부산진일신여학교,부산광역시 동구 정공단로17번길 17(좌천동),35.1348306373,129.0528984614,051-635-7113,
224,온정개건비,부산광역시 동래구 금강로124번길 23-17(온천동),35.2201077208,129.0813269842,051-550-4081,
225,해월정,부산광역시 해운대구 중동,35.1585054149,129.1841752861,051-749-5700,있음
226,전포카페거리,부산광역시 부산진구 전포대로209번길 26(전포동),35.1564006288,129.0629164444,051-605-4521,없음
227,임랑해수욕장,부산광역시 기장군 장안읍 임랑리,35.3160142193,129.2620863763,051-709-5448,주차가능
228,신선대(부산),부산광역시 남구 신선로303번길 6(용당동),35.1033184289,129.1033782666,051-253-8253,"있음(소형, 대형 가능)"
