명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보,개장기간,입장료,체험가능연령, 유산구분,개장일,체험안내,이용시기
부산광역시립 명장도서관,47778.0,,,부산광역시 동래구 명안로46번길 35(명장동),35.200871455,129.1065697598,"* 정보사회의 기반을 다지는 곳, 부산광역시립명장도서관 *

1994년 3월 부산직할시립 명장도서관으로 개관하고 1995년 1월 부산광역시립 명장도서관으로 명칭을 변경하였다. 1994년 개관이래 12만 7천여 자료와 7천여 점의 비도서자료를 소장한 전자자료 특성화 도서관이다. 과거와 현재의 신정보유산을 체계적으로 수집, 정리하고 이를 선진 미래 정보사회로 이끌어내어 새천년 21세기 신지식 정보사회의 탄탄한 기반을 마련하기 위해 최선을 다하고 있다.

※ 1인 1회 5권 대여 가능 (기간 : 2주)",,,,"[종합자료실] 월,토 09:00~18:00 / 화~금 09:00~22:00 / 일 09:00~17:00<br />
[디지털자료실/연속간행물실] 월~토 09:00~18:00 / 일 09:00~17:00<br />
[어린이실] 월,토 09:00~18:00 / 화~금 09:00~18:00 / 일 09:00~17:00<br />
[열람실] 07:00~22:00",매월 첫째 둘째 월요일 / 국가지정 공휴일(공휴일이 일요일인 경우 휴관) / 도서관장이 자료의 정리 및 기타 사유로 휴관이 필요하다고 인정하는 날,무료,,,주차 가능(주차 공간이 협소함으로 대중교통 이용 바람),,없음,불가,없음,"사업내용:도서 대여, 문화강좌, 독서교육, 영화상영, 평생학습마을 등
",,,,,,,
부산광역시립 부전도서관,47292.0,,,부산광역시 부산진구 동천로 79(부전동),35.1558673423,129.0622192978,"* 시민을 위한 다양한 서비스를 제공하는, 부산광역시립부전도서관 *<br /><br />21세기 지식정보사회에서는 정보문화 격차의 해소와 지역소외계층에 대한 폭넓은 서비스가 절실히 요구되고 있다. 1982년 8월 부산직할시립 부전도서관으로 개관하고, 1995년 1월 부산광역시립 부전도서관으로 명칭을 변경하였다. 1998년 3월 진학정보 특성화 도서관으로 지정되었다. 소장자료는 도서 12만 3282권 등 이다.<br /><br />부전도서관에서는 지역 사회의 중요한 정보문화센터로서 최신 정보를 접할 수 있도록 자료의 신속성과 독서패턴의 다양성을 함께 추구하고 있다. 또한 부산의 중심가에 위치하고 있어 시민들이 즐겨 찾고, 쉽게 이용할 수 있는 곳이다.<br /><br />* 시민들을 위한 공간으로 거듭나는 부전도서관 *<br /><br />부전도서관은 도서대출과 열람을 기반으로 시민들을 위한 다양한 사업을 진행하고 있다. 도서관 사업내용으로는 평생교육 교양강좌(신문활용학습강좌, 서예, 꽃꽂이, 사군자, 인터넷, 수지침, 사진, 비디오 촬영교실 등), 시청각교육(교양명화 상영 등)이 있고, 그 외 특성화사업으로 도서관운영 효율화를 위해 인근기관 및 시설에 분관을 설치하여 분관당 1,000권을 대출하며, 진학지도정보실을 운영, 대학진학 진로지도와 진학정보를 제공하고 있다.<br>",,,열람실 좌석 - 194석,"종합자료실: 월,토 09:00~18:00, 화~금 09:00~22:00 일요일 09:00~17:00 <br />
어린이실, 디지털자료실, 연속간행물실, 특성화자료실:  월,토 09:00~18:00, 화~금 09:00~18:00, 일요일: 09:00~17:00 <br />
열람실: 월~일 09:00~22:00","매월 3, 4주 월요일, 국경일, 정부지정공휴일",무료,,,"주차 가능(일반 6면, 장애인 1면)<br />
※ 5부제 참여차량만 주차가능, 1일 최대 2시간<br />
※ 주차면수 부족으로 가급적 대중교통 수단 이용 바람",,없음,불가,없음,"사업내용:도서대출, 문화강좌, 독서 토론회 등
",,,,,,,
부산광역시립 사하도서관,49321.0,,,부산광역시 사하구 승학로 247(괴정동),35.1033496897,128.991082475,"* 평생교육의 장, 부산광역시립사하도서관 *
1984년 9월 25일 개관한 사하도서관은 이용자의 다양한 요구에 부응할 수 있도록 최적의 상태로 관련 자료를 갖추고 있는 도서관이다. 이용자 중심의 정보서비스 제공은 물론 문화활동을 개발하여 미래를 함께 열어나가는 생활 속의 문화 공간으로서 그 역할을 다하고자 한다. 사하도서관은 본관과 별관의 건물을 가지고 있는데 본관 1층에는 종합자료실, 제2교양강좌실이 구비되어 있으며, 본관 2층에는 열람실, 제1교양강좌실이 있다. 별관도 2층으로 구성되어 있는데 1층은 어린이실, 2층은 디지털자료실이다.

* 사하도서관에서는 어떤 업무를 보고 있나? *
사하도서관에서는 도서열람 및 대출과 같은 도서관의 기본적인 업무 외에 문화강좌, 독서회를 개최함으로써 지역민의 문화생활 창달에 일조하고 있다. 또한, 학교도서관 지원, 평생학습마을 운영 등 평생교육의 장으로 자리매김하고 있다.",,,324석,"[어린이자료실/유아실]<br/>월-토 09:00 ~ 18:00 / 일 09:00 ~ 17:00<br/>
[종합자료실/연속간행물존] <br/>월-토 09:00 ~ 18:00 / 일 09:00 ~ 17:00<br/>
[디지털존] <br/>월-토 09:00 ~ 18:00 / 일 09:00 ~ 17:00","매월 첫째, 둘째 월요일 / 국경일, 정부지정공휴일 / 도서의 정리 및 기타 사유로 휴관이 필요하다고 인정하는 날",,,,"있음(운영시간 07:00~23:00)<br />
※ 19대 주차 가능(장애인용 1대 포함)<br />
※ 요일제 참여 차량만 주차 가능",,없음,불가,없음,"사업내용:도서열람 및 대출, 문화강좌, 독서회, 학교도서관 지원, 평생학습마을 운영 등
",,,,,,,
부산 해운대도서관,48080.0,,,부산광역시 해운대구 양운로 183(좌동),35.1779224038,129.1689871837,"* 주민들에게 열려있는 정보 공간, 부산해운대도서관 *

새천년 지식정보화 시대를 맞이하여 해운대도서관은 지역 주민들에게 정보의 공간, 문화생 활 공간으로서의 역할을 하고 있다. 1982년 6월 부산직할시립 해운대도서관으로 개관하고 1995년 1월 부산광역시립 해운대도서관으로 명칭을 변경하였고, 2010년 1월 6일 기존 도서관은 '부산광역시립해운대도서관 우동분관'으로 명칭을 변경하였고, 해운대 양운로에 새로 신축한 도서관을 '부산광역시립해운대 도서관'으로 칭하였다. 이용자들의 정보욕구를 충족시키기 위해 멀티미디어실 을 운영하여 인터넷을 통한 최신의 정보를 제공하고 있으며, 또한 관광·여행자료 특성화 도서관으로서 도서, 비디오, CD-ROM, 지도 등 다양한 관광자료를 구축하여지역문화 발전에 이바지하고자 하고 있다.

* 해운대도서관의 다양한 시설 안내 *

해운대도서관은 주민 문화활동을 위해 다양한 시설을 조성, 운영하고 있다. 시설현황은 ① 종합자료실:전 주제 분야의 일반도서와 참고자료 ② 어린이실: 동화책 및 과학책, 역사책, 신문, 잡지, 인터넷 정보검색 등을 이용할 수 있는 자료실 ③ 어린이영어도서관: 영ㆍ유아들의 연령대에 맞는 다양한 영어 그림책과, 잡지, CD-ROM 자료 등 ④ 디지털자료실·연속간행물실: 다양한 콘텐츠, 국내 주요 일간지, 잡지 등이다",,"지하 2층, 지상 4층",,"※ 화~금 <br />
[종합자료실] 09:00~22:00 <br />
[어린이실] 09:00~18:00 <br />
[디지털/유아·어린이영어자료실] 09:00~18:00<br />
※ 월,토 : 09:00~18:00 / 일 09:00~17:00<br />
※ 열람실 : 07:00~22:00","매월 셋째·넷째 월요일, 정부지정 국경일, 공휴일",,,,"주차 가능(지상 25면, 지하 90면, 총 115면)
- 운영시간 07:00~23:00","도서관 이용자에 한해 기본 1시간 무료 / 초과시 30분당 500원 <br>
1일 주차 4,700원 / 월주차 50,000원<br>
※ 장애인, 국가유공자, 다자녀 가정, 경차 50% 경감",없음,없음,없음,"사업내용:도서열람 및 대출, 문화강좌 운영, 도서관 행사 주최, 영화 상영 등
",,,,,,,
동삼동패총전시관,49125.0,,,부산광역시 영도구 태종로 729(동삼동),35.0712160269,129.079642317,"* 신석기 시대 전문 박물관, 동삼동패총전시관 *<br /><br />신석기 시대의 전문 박물관으로서 부산 지역의 대표적 신석기 시대 유적인 동삼동패총의 발굴유물을 공개하고, 시민들의 신석기 시대에 대한 이해와 관심을 높이기 위한 역사교육의 장으로 활용되고 있다. 제1전시실은 신석기 시대와 패총에 대한 전반적인 이해를 돕기 위해 신석기 시대 문화, 신석기 시대의 유적과 분포, 부산의 신석기 문화, 동삼동 패총, 토층전사, 영상자료 등을 전시하고 있으며, 제2전시실은 동삼동패총인의 생활상을 구성함에 있어서 마을풍경, 식생활, 빗살무늬토기, 생활 도구, 어로활동과 어구, 조개팔찌와 장신구, 대외교류, 신앙과 의례, 신석기 시대 의 무덤 등을 전시하고 있다.<br /><br />* 동삼동 패총에 대하여 *<br /><br />패총은 선사시대에 인류가 먹고 버린 조가비와 생활쓰레기가 쌓여 이루어진 것으로 조개더미 유적이라고 한다. 이곳은 동삼동 바닷가 언덕 비탈에 위치하며 신석기 시대 전 기간에 걸쳐 쌓인 층이 드러난 곳이다. 층위는 5층이며, 이곳에서 석기, 짐승뼈, 조가비들로 된 살림살이 유물과 농사짓는데 쓰이는 연장이 나왔다. 문양 없는 원시무문토기, 신석기시대의 대표적인 토기인 빗살무늬토기가 출토되어 당시의 생활상과 문화상들을 연구하는데 큰 도움을 준다.<br>",,"전시관 연면적 146평(지상 1층, 지하 1층)",,09:00~18:00,"1월 1일, 매주 월요일(월요일이 공휴일인 경우 다음날 휴관)",무료,,,주차 가능,,없음,불가,없음,"사업내용:기획전 전시, 학술총서 발간, 사회교육강좌, 체험학습 등
한국어 안내서비스:매주 토.일요일 10:00~17:00
",,,,,,,
부산광역시 영도도서관,49114.0,,,부산광역시 영도구 함지로79번길 6(동삼동),35.0755014082,129.0660433825,"* 지역 주민의 문화생활 증진을 위한 공간, 부산광역시 영도도서관 *<br /><br />영도도서관은 지역주민들의 삶의 질 향상과 문화창달을 위해 1996년 7월 설립되었다. 공공도서관의 제반 기능 수행에 최선을 다하고 있으며 앞으로도 디지털 정보사회를 선도하는 종합적인 정보문화공간으로서의 역할을 다하고 있다. 지상 3층으로 구성되어 있으며, 1층은 어린이 자료실, 유아실이 있다. 2층은 종합자료실과 정기간행물실, 종합자료실이 있으며, 3층에는 멀티미디어실과 열람실로 구성되어 있다. <br>",,,,"* 1층 어린이자료실<br />
- 휴실 2022.03.29.(화) ~ 6월<br />
<br />
* 2층 종합자료실<br />
- 화~금 : 09:00~22:00<br />
- 토요일 : 09:00~18:00<br />
- 일요일 : 09:00~17:00<br />
<br />
* 3층 멀티미디어실<br />
- 화~토 : 09:00~18:00<br />
- 일요일 : 09:00~17:00<br />
* 3층 일반열람실<br />
- 화~일 : 07:00~22:00","매주 월요일, 일요일을 제외한 공휴일(단, 일요일이 다른 공휴일과 겹치는 경우 휴관), 관장이 필요하다고 인정하는 날",,,,주차 가능,무료,없음,불가,없음,"소장품현황:[도서] 철학, 종교, 사회과학, 순수과학, 기술과학, 예술, 언어, 문학, 역사 등<br />
[비도서] 신문, 잡지, E-Book, CD-Rom, VCD DVD, TAPE, CD, VIDEO, LCD
",,,,,,,
부산광역시립 중앙도서관,48903.0,,,부산광역시 중구 망양로193번길 146(보수동1가),35.10999405,129.0269458417," * 정보화시대를 이끄는 선두주자, 부산시립중앙도서관 *<br /><br />세계는 빠른 속도로 변화하고 있으며 사회영역간 경계도 나라간 국경도 허물면서 사람들 의 인식조차 바뀌기를 요구하고 있다. 새로운 세기, 21세기의 키워드는 정보와 문화이다. 누가 더 많은 정보를 보다 빠르게 획득하여 문화적 부가가치를 창출하는가에 따라서 삶의 질도 달라질 수 있다. 부산시립중앙도서관은 모두가 필요한 정보제공과 문화생활 향상에 기여하는 것이 중요한 존재가치의 하나라는 인식아래 기존의 서비스 방식에서 탈피하는 새로운 서비스의 첫 단 계로서 홈페이지를 개설하였고 또한 원하는 정보를 적시에 전달하는 것과 문화생활의 터전이 되는 것이 궁극적인 목표이다. 1989년 8월 부산직할시립 중앙도서관의 설립절차를 마치고 1989년 12월 도서관 건물을 완공하였다. 1990년 4월에 개관하고 1995년 1월 부산광역시립 중앙도서관으로 명칭을 변경하였다. 1999년 1월 부산광역시립 수정분관을 인수하였다.<br>",,,,"[어린이실/다주제자료실/디지털자료실]<br />
화~금 09:00 ~22:00 / 월,토 09:00~18:00 / 일 09:00~17:00<br />
[종합자료실/문학언어역사자료실]<br />
화~금 09:00~22:00 / 월,토 09:00~18:00 / 일 09:00~17:00 <br />
[제1열람실] 09:00 ~ 22:00","매월 첫째, 둘째 월요일, 일요일을 제외한 관공서의 공휴일(단, 일요일이 공휴일 경우에는 휴관), 관장이 도서의 정리 및 기타 사유로 휴관이 필요하다고 인정하는 날",,,,"주차 가능(27대/장애인용, 경차전용 포함)<br />
※ 운영시간 07:00~23:00<br />
※ 차량요일제 시행",,없음,없음,없음,,,,,,,,
부산 반여도서관,48025.0,,,부산광역시 해운대구 재반로282번길 38,35.2020357183,129.1338451325,"* 시민들 생활속의 도서관, 부산반여도서관 *<br />
1999년 11월에 개관한 반여도서관은 지역주민의 정보화 및 지식 욕구를 충족시키는 대표적인 지식·정보센터이다. 반여도서관은 새로운 독서문화를 정착시키고 다양한 계층이 함께 어울릴 수 있는 평생교육 프로그램을 개발하여 종합 문화 중심지로서 그 역할을 충실히 수행하고 있다.<br />
다양한 정보를 신속히 제공하는 도서관 본연의 서비스뿐만 아니라 각종 지식전달 프로그램을 통해 지역문화 발전의 중심이 되고 있다. 각종 교양강좌를 통해 새로운 지식과 정보를 제공하고, 어린이와 청소년에게 도서관 이용 교육으로 올바른 독서습관을 길러주어, 건전한 도서관 문화 형성에 기여하고 있다. 
또한 도서관 주간과 독서의 달을 정하여 다양한 독서진흥 행사를 여는 등, 생활속의 도서관이 자리매김하고 있다.

*  대출정보 : 대출권수 1인 5권, 14일<br /><br>",,"지하1층, 지상2층",221석,"[종합실] 평일 09:00~22:00/토 09:00~18:00/일 ~17:00<br>
 [어린이실] 평일 09:00~18:00/토 09:00~18:00/일 ~17:00<br> [열람실] 07:00~22:00","매주 월요일, 국경일, 정부 지정 공휴일, 기타 관장이 필요하다고 인정하는 날",무료,,,주차 가능,,없음,불가,없음,"사업내용:독서교실, 문화행사, 영화상영, 교양강좌 등
",,,,,,,
부산광역시립 시민도서관,47103.0,,,부산광역시 부산진구 월드컵대로 462(초읍동),35.1828141013,129.0501640534,"110년, 한 세기를 넘는 시간이 부산광역시립시민도서관의 역사이다. 부산광역시시립시민도서관은 1901년에 설립되어 역사와 전통을 지닌 근대 공공도서관의 효시라 할 수 있으며, 51만여 권이라는 적지 않은 장서량을 자랑하고 있다. 다양한 교양자료와 인문사회, 자연기술, 어문학 등의 주제자료, 법령집, KS.JIS, 각종 사전류 등 참고자료와 CD-ROM, DVD, Video Tape, Microfilm 등의 비도서자료도 다양하 게 갖추어 이용자에게 멀티미디어 활용장으로 제공되고 있으며 또한 고문헌.논문을 집 중적으로 수집, 이용에 역점을 두는 특성화도서관이기도 하다.<br><br>2000년에 이어 2002년 에는 교육인적자원부로부터 부산지역 평생교육정보센터로 재지정 받아 부산지역의 각 평생교육기관과의 다양한 네트워크를 형성하여 평생교육의 중심기관 역할을 수행하고 있다. 이 모든 다양한 기능과 역할을 수행하는 도서관의 핵심은 그 무엇보다도 책이라 할 수 있다. 책 읽는 사람은 아름답다. 도서관은 일종의 거대한 책의 세계라 할 수 있다. 따라서 도서관 이용자는 책세상의 주인이며 미의 주체라 하겠다. 앞으로 부산광역시립 시민도서관은 이용자와 책을 이어주는 친절한 길라잡이가 되어 아름답고 풍요로운 삶 과 미래로 여러분을 이끌어 가려 노력할 것이다.<br><br>* 110년을 자랑하는 시민도서관의 역사 *<br>1911년 홍도회 구락부의 도서관 시설과 장서를 사립 부산교육회에서 승계·운영하다가, 1919년 4월 일제에 의하여 부산부(釜山府)로 이관되어 부산 부립도서관으로 운영됨으로써 공공도서관으로 전환하게 되었다. 1948년 8월 부산시립도서관으로 개칭되었고 1963년 8월 건물을 신축하여 동광동에서 부산진구 부전동으로 이전하였다. 1982년 4월 부산직할시립 시민도서관으로 개칭되고 1982년 8월 다시 부산진구 초읍동으로 신축 이전하였으며, 1995년 1월 '부산광역시립 시민도서관'으로 개칭되었다.<br><br>※ 1인 1회 5권 대여 가능 (대여기간 15일)",,지상4층 지하1층,,"[일반열람실] 07:00~22:00<br>
 [어·문학실/인문·사회과학실/자연·기술과학실]<br>
 월,토 09:00~18:00 / 화~금 09:00~22:00 / 일 09:00~17:00<br>
 [꿈있는책마을(유아실,어린이실)/고문헌실/디지털자료실/연속간행물실/다문화자료실/부산아메리칸코너]<br>
 월~토 09:00~18:00 / 일 09:00~17:00<br>
 [족보자료실] <br>
 월, 토 09:00~13:00 / 화~금 09:00 ~ 17:00 / 일 휴실&nbsp;<br>
 <br> ※ 고문헌실/장애인정보누리터/부산아메리칸코너/족보자료실 휴실시간 안내 : 12:00 ~ 13:00","매월 마지막주 월요일, 국가공휴일, 특별한 사유 발생으로 도서관장이 지정한 날",,,,주차 가능<br />- 이용시간 : 07:00~22:00 <br />※ 휴관일은 개방하지 않음<br />※ 5부제(요일제) 참여 차랑만 이용 가능,"도서관 이용 시 1일 최초 1시간 무료 제공<br />
1시간 초과 후 10분마다 200원, 1일 최대 6,000원 징수<br />
※ 주차 요금의 감면 : 50% 감면<br />
-「장애인복지법」에 따라 등록된 장애인<br />
-「독립유공자예우에 관한 법률」제4조에 따른 독립유공자<br />
-「국가유공자 등 예우 및 지원에 관한 법률 시행령」별표3에 따른 상이자<br />
-「5.18민주유공자예우에 관한 법률 시행령」제4조에 따른 5.18민주화운동부상자<br />
-「고엽제후유의증 환자 지원 등에 관한 법률」제3조에 따른 적용 대상자<br />
- 다자녀가정에 속하는 자로서 가족사랑카드에 등재되어 있는 자<br />
- 승용차부제 참여 자동차를 운전하는 자<br />
- 자동차관리법시행규칙 제2조의 규정에 의한 경형 차량 운전자",없음,불가,없음,"사업내용:도서열람 및 대출, 문화학교 운영, 대출문고 및 이동도서관 운영, 각종 문화행사 운영, 학부모교육원 운영 및 관리, 평생교육사업 개발, 독서안내 및 상담 등
",,,,,,,
부산광역시립 연산도서관,47558.0,,,부산광역시 연제구 고분로191번길 16 부산광역시립연산도서관,35.1861091721,129.1040120547,"* 지역주민의 문화 생활의 증진을 위한, 부산광역시립연산도서관 *
부산의 대표적 행정 중심지이자 주민문화를 선도하는 연제구에 위치한 부산연산 도서관은 1987년 개관이래 지역주민의 지적욕구 충족을 통한 국가경쟁력 확보 및 지역문화발전을 위하여 노력하고 있다.

* 지역주민을 위한 다양한 프로그램 *
21세기 지식정보사회를 선도하는 핵심기관으로서 다양한 자료의 신속한 확충 및 활용은 물론 주5일 근무제 시행에 따른 자기계발과 사회참여, 봉사활동이 가능 한 새로운 여가문화조성의 필요성에 적극 부응하기 위하여 어린이와 일반인을 위한 프로그램 및 가족 프로그램을 다양하게 구성하여 운영하고 있다.",,"대지 1,527㎡(462평)",,"월-토 09:00 ~ 18:00 / 일 09:00 ~ 17:00 <br />
[제1자료실] 화~금 09:00~22:00<br />
월,토 09:00~18:00 / 일 09:00~17:00<br />
[디지털존/어린이자료실]<br />
월~토 09:00~18:00 / 일 09:00~17:00<br />
[제2자료실/북카페] 월~일 09:00~22:00","셋째, 넷째 월요일 / 일요일을 제외한 법정공휴일 / 그 밖의 연산도서관장이 필요하다고 인정하는 날",무료,,,주차 가능,,없음,불가,없음,"사업내용:문화강좌, 독서행사, 영화상영, 연산독서회, 학교도서관지원, 평생학습마을 운영 등
",,,,,,,
부산 동구도서관,48763.0,,,부산광역시 동구 성북로36번길 54(범일동),35.138088597,129.0524428566,"* 지역 주민의 문화생활 영위를 위해 설립된, 부산동구도서관 *

1998년 4월 개관한 부산동구도서관은 21세기 정보화를 선도하는 동구도서관은 지역사회의 미래를 여는 문, 정보의 샘터, 평생교육의 장으로서 역할 수행을 목적으로 하고 있다. 도서관 시설로는 종합자료실과 정기간행물실, 어린이실 시청각실, 어학실 등이 있다. 종합자료실은 일반도서, 참고도서, 문학서적 및 각 지역의 향토자료 등을 구비하고 있으며, 정기간행물실에는 최신정보 제공을 위한 신문, 잡지, 법령집, 관보 및 취업정보·수험정보 안내서 등이 있다. 어린이실은 초등학생 이하 어린이 도서·잡지 등이 구비되어 있다. 시청각실에서는 청소년 비디오 및 명화를 매주 일요일 상영하고 있으며, 어학(영상)실에서는 중학생 이상 어학학습 및 영상자료 등을 열람할 수 있다.

* 다양한 강좌와 독서회 안내 *

부간동구도서관에서는 지역 주민을 위한 다양한 프로그램을 개발 운영하고 있다. 우선 교양강좌를 들 수 있는데 색종이접기, 한문교실 등을 운영하고 있다.또한 일반 독서회(부산시민), 청소년 독서회(동구 관내 중·고등학생), 어린이 독서회(동구 관내 초등학생) 등 연령에 맞춰 다양한 독서회를 개설 운영하고 
있다. 그밖에도 도서관 주간 행사, 독서의 달 행사, 기타 강연회, 독후감 모집, 시낭송회, 동화구연대회, 글짓기대회 등 다양한 행사를 주최하고 있다.

* 대출정보 : 대출권수 1인 5권, 15일 (연장 불가)",,,,"[종합자료실/열람실]<br />
화~금 09:00~22:00 / 토 09:00~18:00 / 일 09:00~17:00<br />
[어린이자료실, 멀티미디어실]<br />
화~금 09:00~18:00 / 토 09:00~18:00 / 일 09:00~17:00","매주 월요일, 국경일, 정부지정공휴일",무료,,,주차 가능,,없음,불가,없음,,,,,,,,
부산 기장도서관,46063.0,,,부산광역시 기장군 기장읍 차성동로126번길 13-5,35.2497097044,129.2172810028,"* 시민의 정보화를 도와주는 부산기장도서관 *
2003년 3월 개관한 부산 기장도서관은 21세기의 정보화 사회를 선도해 나가기 위해서 주민들의 문화생활 및 정보제공의 공간으로서의 역할을 하고 있다. 또한, 인터넷의 열린 게시판을 통하여 의견을 반영하여 주민 모두에게 열린 도서관이 되도록 노력하며 공공도서관으로서의 지적 문화유산을 총체적 체계적으로 수집 보전하여 이를 후세에 계승시키는 문화와 역사의 전달자로서 소임을 다하고자 노력하고 있다. 특히, 디지털 도서관의 기반조성을 위하여 CD-ROM, DVD,e-Book 등과 같은 다양한 디지털 자료를 비치하여 최첨단 정보를 신속히 제공하도록 하고 있다.

* 기장도서관의 시설 현황 *
기장도서관은 지하 1층과 지상 3층으로 구성되어 있다. 지하에는 시청각실, 매점이 있으며, 1층에는 어린이독서방, 아동열람실 등 어린이를 위한 공간이 마련되어 있다. 2층에는 멀티미디어실, 종합자료실이 조성되어 있고, 3층에는 열람실이 있다.",,"본관 2,710㎡(지하 1층, 지상 3층) / 꿈나무 어린이 도서관 660㎡(지상 3층)",,"[열람실] 월~일 09:00 ~ 22:00<br />
[종합자료실/디지털자료실/어린이자료실]<br />
월~금 09:00 ~ 22:00/토,일 09:00 ~ 18:00","매주 월요일(열람실 제외), 정부 지정 공휴일, 특별한 사유로 군수가 필요하다고 인정한 날",무료,,,"주차 가능<br />
※ 주차공간이 부족하니 대중교통수단 이용 바람",,없음,불가,없음,"소장품현황:[도서] 철학, 종교, 사회과학, 자연과학, 기술과학, 예술, 언어, 문학, 역사<br />
[비도서] CD, DVD, E-BOOK, 오디오북, VIDEO
",,,,,,,
부산광역시립 서동도서관,46313.0,,,부산광역시 금정구 서부로76번길 5(서동),35.2198858586,129.0994365249,"* 시민 평생 교육의 장, 부산서동도서관 *
서동도서관은 역사와 문화가 살아있는 공간이자 지역주민의 평생교육기관이다. 부산광역 시립서동도서관은 1983년 5월 부산직할시립 서동도서관으로 개관하고 1995년 1월 1일 부산광역시립 서동도서관으로 명칭을 변경하였다. 1983년에 개관한 이래 20 여년의 시간동안 지역주민과 함께 성장 발전하고 있다. 기존의 도서관 자료의 수집 열람 대출에서부터 시작하여 지금은 다양한 문화강좌를 제공하여 지식정보문화센터로서 그 역할을 다하고 있다. 성별, 학벌, 나이에 구애됨이 없이 누구나 이용할 수 있는 공공도서관이야말로 평생교육의 장으로서 적합하다고 할 수 있다. 부산광역시립도서관은 평생교육센터 기능에 충실할뿐만 아니라 지역주민들의 평생학습체계를 구축하여 새로운 21세기에 대처해 나갈 수 있는 국가경쟁력을 길러주며 지식기반사회에서 제 역할을 할 수 있는 밑거름을 제공하고 있다.",,,,"[열람실] <br />
월~토 09:00 ~ 18:00 / 일 09:00 ~ 17:00<br />
[종합자료실/디지털자료실]<br />
월~토 09:00 ~ 18:00 / 일 09:00~17:00<br />
[어린이실]<br />
월~토 09:00 ~ 18:00 / 일 09:00~17:00<br />","셋째, 넷째 월요일, 국경일, 정부지정 공휴일, 기타 도서관장이 필요하다고 인정하는 날",무료,,,"주차 가능<br /> 
※ 주차공간이 부족하오니 가능하면 대중교통수단 이용 바람",,없음,없음,없음,,,,,,,,
부산점자도서관,46938.0,,,부산광역시 사상구 덕상로72번길 9,35.17813018,128.9898027697,"* 시각장애인의 문화를 선도하는 도서관, 부산점자도서관 *<br /><br />지역사회 3만여 시각장애인들에게 점자도서과 녹음도서 등 특수자료를 제작하여 제공함으로써, 이들의 재활교육과 여가활동을 돕고, 문화생활 향상에 기여하기 위함이 설립목적이다.부산점자도서관에서는 일반 도서를 점자·점자전자도서, 녹음테이프·전자음성도서 등 특수자료로 제작하는 도서제작사업과 시각장애인들의 대출신청을 받아 제작된 특수도서를 우편 또는 인편으로 전달하여 가정에서 이용할 수 있게 하는 도서대출사업을 운영하고 있다. 또한 먼길을 찾아오기 힘든 시각장애인의 편리성을 위해 이동도서관사업을 운영 중에 있다.<br /><br />* 도서가 아닌 문화를 책임지는 도서관 *<br /><br />부산점자도서관의 사업은 도서 대출에 멈추지 않는다. 도서관을 기반으로 시각장애인의 문화 생활 향상에 역점을 두고 사업을 운영 중이다. 우선 독서토론회 개최 및 독후감 현상공모, ARS를 통한 독서퀴즈대회 실시, 다독자표창 등으로 독서 욕구를 고취시키는 독서진흥사업을 진행하고 있으며, 볼링대회, 등산, 화면해설영화 감상, 음악 및 각종 공연 관람 등을 실시하여 시각장애인들의 여가생활 영역을 확대하는 문화체육사업도 병행 중이다. 이외에 점역, 낭독, 도서배달, 프로그램 보조, 일반업무지원 등 각 분야 자원봉사자를 모집·교육하는 자원봉사자교육사업과 점자도서관의 필요성과 역할을 정확히 알려 시각장애인들의 정보접근권이 일반인과 같아지게 하기 위한 홍보·후원사업도 진행 중이다.<br>",,"총 246평 - 자료실 55평, 점역실 22평, 녹음실 17평, 사무실 19평, 열람실 10평, 남구분관 48평, 기타(복도, 화장실, 계단 등) 75평",,"하절기(3~10월) 09:00~18:00<br />
동절기(11~2월) 09:00~17:00","토/일요일, 법정공휴일",무료,,,주차 가능,,없음,불가,없음,"소장품현황:점자도서, 전자도서, 테이프도서, CD도서, 묵자도서 등
사업내용:도서제작, 도서대출, 이동도서관, 독서진흥, 문화체육, 자원봉사자관리, 후원.홍보
",,,,,,,
주한독일문화원 부산 분원,46287.0,,,부산광역시 금정구 금강로279번길 91,35.2359087676,129.0834958054,"주한독일문화원 부산 분원은 부산대학교에 위치하고 있다. 부산어학센터는 부산은 물론 그 외 근교지역의 대학생, 시민을 비롯해 독일과 독일어, 독일문화에 관심 있는 모든 사람들을 대상으로 주한독일문화원 본원(서울 남산 소재)에서 운영하는 어학 강좌와 동일한 방식으로 수업을 진행한다. 이와 함께 독일과 관련한 문화 행사를 개최하고, 출판물 및 독일어 학습 자료를 제공하고 있다.",,,,10:00~19:00,"토요일, 일요일, 공휴일",,,,,,없음,불가,가능,,,,,,,,
