keyword,isinTrue,cluster
다대포항,굳세다 환하다 귀찮다 겉다 어둡다 적잖다 귀엽다 예뿌다 짙다 나쁘다 차다 낡다  비좁다 하찮다 재미있다 까다롭다 겹다 가파르다 둥글다 설다 맛나다 붉다 맵다 저렇다 멀다 외지다 춥다 엄청나다 찐하다 굵다 눈부시다 시끄럽다 정겹다 가깝다 아무렇다 반갑다 이쁘다 걸맞다 가볍다 강하다 알맞다 수많다 알차다 빠르다 매몰차다 묘하다 젊다 덩그러다 얕다 착하다 똑같다 진하다 어렵다 뜨겁다 어떻다 정신없다 더럽다 깊다 격하다 배부르다 맑다 좁다 곱다 바쁘다 낮다 습하다 싫다 귀여우다 섭하다 색다르다 야무지다 무섭다 머다 힘드다 드세다 심하다 아름답다 두껍다 맛없다 급하다 하얗다 부드럽다  습지다 아깝다 얇다 스럽다 고프다 뒤늦다 이렇다 아프다 멋있다 쎼다 기다 지겹다 비싸다 놀랍다 싸다 비리다 드넓다 세다 적다 싶다 빡세다 즐겁다 덥다 어리다 가까우다,1
다대포해수욕장,발다 귀찮다 두서없다 나쁘다 파라다 낡다  어떠다 미심쩍다 설다 저렇다 찐하다 해맑다 뜬금없다 야물딱지다 빨가다 차갑다 이쁘다 못지않다 가느다랗다 조그맣다 알차다 존다 젊다 차가우다 친하다 값싸다 름없다 느리다 곱다 낮다 속상하다 요렇다 여무지다 사이좋다 아름답다 쑥쓰럽다 맛없다 야하다 틀림없다 여럽다 고르다 재미나다 스럽다 수줍다 뒤늦다 뽀얗다 거세다 지겹다 벅차다 뿌옇다 놀랍다 깜다 비리다 억세다 더디다 아쉬우다 앙증맞다 싶다 쓸데없다 웂다 경이롭다 어리다 어림없다 덜하다 주의깊다 따시다 징그럽다 뼈저리다 나뿌다 추우다 안녕하다 세차다 비좁다 사납다 꿈같다 지나치다 넒다 둥글다 짜다 붉다 맛나다 심심찮다 눅다 멀다 부끄럽다 외지다 구다 푸르다 서럽다 정겹다 힘차다 새빨갛다 부끄러우다 어이없다 따사롭다 매섭다 어려우다 기막히다 묘하다 쩔다 덩그러다 지대다 기차다 똑같다 진하다 어렵다 어떻다 잦다 마땅찮다 격하다 상관없다 중하다 맑다 좁다 질기다 언짢다 점잖다 귀여우다 빨갛다 고마우다 무섭다 버겁다 힘드다 고맙다 배고프다 어딨다 무지하다 살갑다 새롭다 급하다 아까우다 하얗다 활기차다 아깝다 과하다 오래다 이렇다 희다 매우다 아프다 슴슴하다 그지없다 오지다 띵하다 뻔하다 자리다 지겨우다 빡세다 차겁다 빡시다 덥다 굳세다 싱그럽다 아름다우다 멋없다 악하다 환하다 어지럽다 어둡다 갑작스럽다 즐거다 예뿌다 짙다 기똥차다 별하다 시답다 밉다 얼큰하다 두렵다 촌스럽다 하찮다 기쁘다 슬프다 밤늦다 뜻깊다 조다 갓다 맵다 춥다 인상깊다 우연찮다 굵다 시끄럽다 읎다 드물다 파랗다 가깝다 보기좋다 궂다 우하다 반갑다 뜨거우다 드럽다 그럿다 빡쎄다 가볍다 씨다 멋지다 수많다 굳다 기름지다 빠르다 우섭다 부드러우다 얕다 변함없다 험하다 정신없다 거칠다 보드랍다 더럽다 선하다 넓디넓다 배부르다 저리다 약하다 습하다 싫다 더우다 시리다 시뻘겋다 머다 드세다 동그랗다 심하다 두껍다 예뻤다 밝다 쨍하다 귀하다 부드럽다 죠다 까맣다 재미없다 고프다 무거우다 낯설다 옳다 노랗다 시다 비싸다 잘다 어여쁘다 적다 낯익다 즐겁다 흐리다 힘겹다 겉다 찹다 바르다 쎄다 연하다 귀엽다 증하다 얄짤없다 차다 커다랗다 낫다 따숩다 소용없다 헐벗다 재미있다 온데간데없다 까다롭다 가늘다 가파르다 싱겁다 꾸밈없다 보람차다 옅다 두꺼우다 엄청나다 휑하다 눈부시다 아무렇다 외롭다 걸맞다 뛰어나다 해롭다 강하다 알맞다 새까맣다 착하다 뜨겁다 놉다 웁다 손색없다 만다 구리다 깊다 특별나다 흔하다 바쁘다 탁하다 섭하다 색다르다 야무지다 우습다 벌겋다 실하다 무서우다 미끄럽다 검다 거하다 나다 순하다 묽다  습지다 무겁다 얇다 물렁하다 문제없다 정답다 멋있다 안타깝다 부럽다 싸다 그립다 드넓다 세다 똥그랗다 가까우다,0
다리집,가쁘다 덜하다 귀찮다 겉다 찹다 쎄다 귀엽다 예뿌다 나뿌다 나쁘다 파라다 낫다  재미있다 맛나다 갓다 맵다 저렇다 멀다 춥다 엄청나다 굵다 가깝다 이쁘다 어이없다 간지럽다 가볍다 실허다 알맞다 멋지다 알차다 빠르다 존다 묘하다 착하다 똑같다 진하다 어렵다 뜨겁다 정신없다 깊다 배부르다 맑다 질기다 좁다 흔하다 바쁘다 낮다 싫다 색다르다 빨갛다 야무지다 무섭다 드세다 고맙다 아름답다 두껍다 실하다 쓸모없다 무지하다 밝다 맛없다 새롭다 쨍하다 급하다 하얗다 부드럽다 틀림없다 묽다  무겁다 아깝다 고르다 얇다 과하다 뒤늦다 이렇다 낯설다 옳다 아프다 멋있다 오지다 비싸다 부럽다 싸다 한탄스럽다 비리다 세다 적다 앙증맞다 즐겁다 흐리다 덥다,1
다솥맛집,귀찮다 겉다 쎄다 귀엽다 나쁘다 파라다 낫다 굴뚝같다 세차다  따숩다 넒다 재미있다 가파르다 싱겁다 조다 맛나다 갓다 맵다 저렇다 멀다 인상깊다 엄청나다 휑하다 드물다 가깝다 아무렇다 반갑다 이쁘다 믿음직스럽다 뛰어나다 가볍다 강하다 알맞다 알차다 빠르다 젊다 똑같다 진하다 어렵다 뜨겁다 정신없다 웁다 구리다 깊다 배부르다 맑다 좁다 질기다 바쁘다 싫다 빨갛다 야무지다 무섭다 부시다 힘드다 심하다 어딨다 특출나다 실하다 검다 맛없다 급하다 나다 부드럽다  아깝다 얇다 과하다 문제없다 고프다 뒤늦다 이렇다 비싸다 부럽다 잘다 비리다 세다 적다 낄다 즐겁다 덥다,1
다이도코로, 무겁다 아깝다 덜하다 환하다 고르다 겉다 정겹다 배부르다 착하다 찹다 쎄다 뒤늦다 가깝다 좁다 귀엽다 이렇다 곱다 바쁘다 반갑다 낯설다 낮다 싫다 귀여우다 순하다 나쁘다 색다르다 낫다 이쁘다 야무지다 멋있다  가볍다 멋지다 굳다 비싸다 알차다 지나치다 두껍다 재미있다 빠르다 쩔다 비리다 부드러우다 세다 적다 조다 지겨우다 앙증맞다 맛없다 검다 맵다 맛나다 진하다 빠삭하다 어렵다 저렇다 똑같다 즐겁다 멀다 흐리다 부드럽다 덥다,1
다이아몬드베이,귀찮다 어둡다 쎄다 귀엽다 징그럽다 나쁘다 안녕하다  어떠다 하찮다 지나치다 재미있다 맛나다 맵다 저렇다 멀다 부끄럽다 춥다 휑하다 엄청나다 드물다 힘차다 날카롭다 가깝다 재빠르다 이쁘다 거침없다 걸맞다 어이없다 가볍다 강하다 멋지다 수많다 알차다 어려우다 번거롭다 빠르다 얕다 똑같다 진하다 어렵다 차가우다 뜨겁다 깊다 상관없다 배부르다 맑다 느리다 좁다 낮다 바쁘다 더우다 습하다 싫다 색다르다 야무지다 무섭다 고맙다 매끄럽다 심하다 아름답다 밝다 검다 새롭다 급하다 부드럽다 죠다 활기차다  무겁다 고르다 얇다 고프다 수줍다 아프다 멋있다 슬푸다 지겹다 비싸다 부럽다 놀랍다 싸다 드넓다 세다 아쉬우다 적다 빡세다 즐겁다 흐리다 덥다 힘겹다,2
닥밭골 벽화마을,뜻있다 가물다 귀찮다 그럴싸하다 나쁘다 폭넓다 낡다  어떠다 겹다 설다 저렇다 냅다 길고길다 찐하다 해맑다 뜬금없다 어김없다 손쉽다 차갑다 이쁘다 거침없다 못지않다 조그맣다 알차다 번거롭다 존다 젊다 값지다 따갑다 친하다 무덥다 름없다 느리다 여깄다 새카맣다 곱다 낮다 부질없다 속상하다 사이좋다 아름답다 관계없다 맛없다 틀림없다 급허다 고르다 재미나다 스럽다 수줍다 뒤늦다 거세다 기다 지겹다 벅차다 혹하다 뿌옇다 놀랍다 깜다 비리다 억세다 더디다 아쉬우다 앙증맞다 싶다 쓸데없다 어리다 주의깊다 따시다 징그럽다 뼈저리다 추우다 안녕하다 어두우다 세차다 비좁다 사납다 애처롭다 지나치다 영락없다 넒다 비탈지다 둥글다 붉다 맛나다 심심찮다 멀다 부끄럽다 구다 나섭다 푸르다 정겹다 힘차다 고다 어이없다 매섭다 칩다 어려우다 묘하다 쩔다 덩그러다 기차다 똑같다 진하다 어렵다 어떻다 잦다 이롭다 상관없다 맑다 좁다 질기다 언짢다 점잖다 귀여우다 갈데없다 빨갛다 잘나다 무섭다 버겁다 부시다 힘드다 고맙다 달갑다 배고프다 따습다 어딨다 무지하다 살갑다 박하다 새롭다 급하다 하얗다 빈틈없다 활기차다 동떨어지다 아깝다 과하다 오래다 이렇다 희다 아프다 뜨아하다 슴슴하다 그지없다 쎼다 오지다 영하다 흐드러지다 아푸다 자리다 차지다 지겨우다 빡세다 빡시다 덥다 굳세다 싱그럽다 아름다우다 환하다 어지럽다 어둡다 갑작스럽다 예뿌다 짙다 잽싸다 짓궂다 밉다 얼큰하다 두렵다 촌스럽다 하찮다 기쁘다 슬프다 밤늦다 뜻깊다 쿨하다 턱없다 조다 갓다 맵다 춥다 인상깊다 우연찮다 굵다 즐거우다 후지다 시끄럽다 읎다 드물다 좁디좁다 파랗다 지긋지긋하다 가깝다 궂다 반갑다 우렁차다 망하다 드럽다 빡쎄다 가볍다 까지다 멋지다 수많다 굳다 기름지다 빠르다 부드러우다 생뚱맞다 얕다 변함없다 개구지다 험하다 정신없다 거칠다 선하다 배부르다 약하다 습하다 싫다 더우다 길다랗다 작디작다 시리다 그만이다 시뻘겋다 짠하다 머다 드세다 동그랗다 심하다 흥겹다 예뻤다 두껍다 밝다 쨍하다 훤하다 귀하다 부드럽다 죠다 간드러지다 까맣다 재미없다 서툴다 고프다 무거우다 낯설다 옳다 노랗다 푸르르다 시다 가팔르다 새차다 비싸다 뜨다 잘다 고되다 남다르다 적다 낯익다 즐겁다 흐리다 힘겹다 좁다랗다 호되다 겉다 찹다 바르다 쎄다 연하다 귀엽다 어리석다 차다 커다랗다 낫다 재미있다 까다롭다 억수같다 가파르다 싱겁다 기다랗다 보람차다 옅다 엄청나다 눈부시다 아무렇다 외롭다 재빠르다 빛바래다 걸맞다 뛰어나다 간지럽다 빼어나다 해롭다 강하다 알맞다 대수롭다 잇다 착하다 뜨겁다 감명깊다 웁다 손색없다 구리다 깊다 익살맞다 흔하다 바쁘다 마다 섭하다 색다르다 야무지다 어설프다 우습다 매끄럽다 벌겋다 실하다 쓸모없다 무서우다 미끄럽다 검다 거하다 나다 여유있다 순하다 묽다  습지다 무겁다 얇다 문제없다 끊임없다 정답다 멋있다 슬푸다 안타깝다 부럽다 싸다 그립다 드넓다 세다 철없다 숱하다 가까우다,0
달맞이갤러리도슨트투어,틀림없다 거칠다 푸르다  흐리다 덜하다 인상깊다 감명깊다 귀찮다 깊다 어둡다 부드럽다 맑다 쎄다 느리다 귀엽다 이렇다 외롭다 흔하다 바쁘다 낮다 죠다 습하다 싫다 더우다 차갑다 짙다 이쁘다 멋있다 어두우다 야무지다 잽싸다  가까우다 비좁다 업다 강하다 고맙다 수많다 멋지다 심하다 배고프다 굳다 비싸다 알차다 흥겹다 사이좋다 아름답다 지나치다 예뻤다 뻔하다 재미있다 싸다 무서우다 젊다 밝다 자리다 둥글다 세다 적다 붉다 아름다다 맛나다 맛없다 새롭다 진하다 똑같다 저렇다 뜨겁다 즐겁다 멀다 부끄럽다 춥다 어떻다 덥다 엄청나다,2
달맞이동산,귀찮다 나쁘다 파라다 낡다  어떠다 약다 드높다 설다 저렇다 찐하다 해맑다 뜬금없다 손쉽다 차갑다 이쁘다 거침없다 못지않다 실허다 조그맣다 알차다 번거롭다 젊다 값지다 친하다 무덥다 느리다 곱다 낮다 지리다 메마르다 요렇다 사이좋다 아름답다 특출나다 짜하다 맛없다 틀림없다 천하다 고르다 재미나다 스럽다 수줍다 뒤늦다 뽀얗다 거세다 그러하다 지겹다 뿌옇다 놀랍다 즐거웁다 비리다 아쉬우다 앙증맞다 쓸데없다 경이롭다 어리다 덜하다 단촐하다 징그럽다 뼈저리다 추우다 어두우다 세차다 비좁다 대차다 무디다 지나치다 넒다 둥글다 짜다 맛나다 붉다 심심찮다 그럴사하다 눅다 멀다 부끄럽다 외지다 푸르다 힘차다 정겹다 새파랗다 어이없다 매섭다 칩다 어려우다 쩔다 묘하다 덩그러다 기차다 진하다 똑같다 어렵다 옴팡지다 어떻다 잦다 고풍스럽다 상관없다 격하다 중하다 맑다 좁다 질기다 귀여우다 빨갛다 잘나다 무섭다 힘드다 고맙다 배고프다 어딨다 무지하다 새롭다 급하다 아까우다 하얗다 활기차다 랍다 부옇다 아깝다 과하다 오래다 이렇다 희다 아프다 슴슴하다 그지없다 감질나다 오지다 뻔하다 흐드러지다 아푸다 자리다 지겨우다 아름다다 빡세다 덥다 환하다 어지럽다 어둡다 갑작스럽다 예뿌다 짙다 잽싸다 시답다 얼큰하다 두렵다 촌스럽다 하찮다 기쁘다 슬프다 뜻깊다 조다 갓다 맵다 춥다 인상깊다 굵다 시끄럽다 읎다 드물다 미끄러우다 파랗다 가깝다 가벼우다 궂다 퍼렇다 반갑다 드럽다 멋들어지다 가볍다 수많다 멋지다 굳다 기름지다 빠르다 야물다 부드러우다 얕다 그릏다 변함없다 험하다 정신없다 거칠다 배부르다 저리다 약하다 심들다 어마다 습하다 싫다 더우다 줄기차다 업다 헛되다 머다 드세다 동그랗다 저떻다 심하다 짝다 두껍다 예뻤다 덧없다 마려우다 밝다 밭다 새하얗다 많고많다 쨍하다 훤하다 귀하다 부드럽다 죠다 까맣다 재미없다 떫다 고프다 낯설다 옳다 노랗다 시다 비싸다 걸죽하다 뜨다 잘다 여리다 고되다 남다르다 따스다 적다 가열차다 즐겁다 흐리다 호되다 달큰하다 겉다 찹다 쎄다 연하다 귀엽다 어리석다 얄짤없다 차다 커다랗다 굴뚝같다 낫다 독하다 따숩다 소용없다 재미있다 까다롭다 가늘다 외다 가파르다 싱겁다 보람차다 기다랗다 옅다 빠삭하다 휑하다 엄청나다 눈부시다 쓸모있다 아무렇다 외롭다 재빠르다 걸맞다 뛰어나다 간지럽다 참하다 해롭다 강하다 알맞다 꺼멓다 뜨근하다 착하다 뜨겁다 감명깊다 손색없다 만다 구리다 깊다 흔하다 바쁘다 탁하다 섭하다 색다르다 야무지다 매끄럽다 실하다 쓸모없다 무서우다 미끄럽다 검다 서투르다 나다 묽다  무겁다 얇다 기다라다 물렁하다 끊임없다 멋있다 안타깝다 부럽다 싸다 그립다 드넓다 세다 가까우다,0
닭발의지존,외로다 덜하다 환하다 귀찮다 겉다 달큰하다 어둡다 쎄다 귀엽다 징그럽다 어리석다 갑작스럽다 예뿌다 나쁘다 차다 파라다 구슬프다 안녕하다 낡다  얼큰하다 짜잔하다 지나치다 슬프다 재미있다 가파르다 맛나다 갓다 맵다 저렇다 멀다 춥다 구다 인상깊다 눈부시다 시끄럽다 가깝다 여물다 이쁘다 드럽다 어이없다 가볍다 안쓰럽다 강하다 알맞다 수많다 멋지다 알차다 어려우다 빠르다 묘하다 젊다 쩔다 그릏다 기차다 진하다 똑같다 어렵다 구리다 깊다 배부르다 저리다 맑다 질기다 여깄다 낮다 바쁘다 습하다 싫다 빨갛다 야무지다 무섭다 머다 힘드다 고맙다 배고프다 아름답다 두껍다 실하다 밝다 맛없다 새롭다 급하다 아까우다 부드럽다 틀림없다  무겁다 아깝다 고르다 얇다 과하다 수줍다 고프다 오래다 뒤늦다 이렇다 매우다 아프다 멋있다 시다 오지다 비싸다 부럽다 놀랍다 싸다 적다 빡세다 쓸데없다 즐겁다 흐리다 덥다,1
당산,어림없다 싱그럽다 틀리다 발다 덜하다 귀찮다 겉다 주옥같다 바르다 쎄다 귀엽다 징그럽다 갑작스럽다 예뿌다 미쁘다 나뿌다 나쁘다 족하다 차다 낫다 안녕하다 어두우다 세차다 잽싸다 낡다  따숩다 소용없다 당차다 밉다 얼큰하다 두렵다 촌스럽다 지나치다 넒다 기쁘다 재미있다 슬프다 밤늦다 외다 가파르다 조다 어슬프다 설다 붉다 맛나다 갓다 맵다 빠삭하다 저렇다 눅다 멀다 부끄럽다 춥다 인상깊다 엄청나다 졸리다 푸르다 찐하다 굵다 해맑다 서럽다 뜬금없다 시끄럽다 읎다 드물다 정겹다 파랗다 가깝다 아무렇다 외롭다 퍼렇다 반갑다 재빠르다 차갑다 이쁘다 드럽다 걸맞다 어이없다 못지않다 가볍다 안쓰럽다 까지다 강하다 알맞다 조그맣다 멋지다 수많다 굳다 알차다 빠르다 묘하다 젊다 쩔다 따갑다 얕다 착하다 진하다 똑같다 어렵다 옴팡지다 친하다 뜨겁다 험하다 감명깊다 어떻다 정신없다 잦다 곧다 웁다 손색없다 무덥다 이롭다 구리다 깊다 격하다 상관없다 배부르다 약하다 맑다 느리다 좁다 질기다 언짢다 낮다 바쁘다 힘겹다 습하다 싫다 귀여우다 편찮다 곱다 지리다 색다르다 빨갛다 야무지다 무섭다 짠하다 힘드다 속상하다 머다 너그럽다 동그랗다 고맙다 사이좋다 심하다 배고프다 추다 아름답다 두껍다 예뻤다 어딨다 실하다 특출나다 관계없다 무지하다 올바르다 쓸모없다 밝다 살갑다 검다 새롭다 맛없다 급하다 옥다 징하다 하얗다 부드럽다 나다 순하다 죠다  무겁다 아깝다 고르다 재미없다 서툴다 얇다 과하다 문제없다 고프다 수줍다 뒤늦다 정답다 형편없다 이렇다 희다 뽀얗다 낯설다 옳다 아프다 거세다 멋있다 시다 슴슴하다 기다 괴롭다 지겹다 오지다 안타깝다 벅차다 귀찬다 비싸다 부럽다 뜨다 잘다 뻔하다 중허다 놀랍다 싸다 깜다 그립다 비리다 아푸다 남다르다 세다 아쉬우다 적다 만만찮다 지겨우다 앙증맞다 빡세다 쓸데없다 식다 즐겁다 흐리다 덥다 어리다,0
대각사(부산),싱그럽다 환하다 겉다 어둡다 찹다 연하다 귀엽다 짙다 나쁘다 낫다 낡다 세차다 비좁다  슬프다 맛나다 맵다 부끄럽다 멀다 춥다 찐하다 드물다 힘차다 가깝다 반갑다 차갑다 이쁘다 어이없다 못지않다 가볍다 알맞다 수많다 멋지다 알차다 번거롭다 빠르다 묘하다 젊다 똑같다 진하다 어렵다 뜨겁다 어떻다 손색없다 무덥다 름없다 약하다 맑다 좁다 바쁘다 낮다 습하다 싫다 섭하다 시리다 야무지다 심하다 아름답다 밝다 맛없다 새롭다 급하다 훤하다 부드럽다 죠다  재미없다 얇다 과하다 끊임없다 뒤늦다 이렇다 노랗다 멋있다 시다 슴슴하다 비싸다 혹하다 놀랍다 싸다 그립다 적다 즐겁다 덥다 어리다,2
대변마을,별스럽다 환하다 귀찮다 어둡다 귀엽다 예뿌다 짙다 나쁘다 낫다 어두우다 낡다  시답다 하찮다 재미있다 슬프다 뜻깊다 희망차다 조다 붉다 맵다 저렇다 멀다 춥다 엄청나다 시끄럽다 좁디좁다 힘차다 파랗다 가깝다 외롭다 반갑다 이쁘다 어이없다 못지않다 가볍다 멋들어지다 수많다 멋지다 굳다 알차다 빠르다 묘하다 젊다 따갑다 똑같다 진하다 어렵다 친하다 뜨겁다 어떻다 정신없다 자그맣다 구리다 상관없다 깊다 배부르다 맑다 좁다 흔하다 낮다 바쁘다 더우다 싫다 섭하다 색다르다 야무지다 머다 힘드다 드세다 뜨시다 동그랗다 고맙다 심하다 아름답다 어딨다 실하다 밝다 맛없다 새롭다 검다 급하다 훤하다 하얗다 부드럽다 죠다 활기차다 묽다  무겁다 아깝다 재미나다 고르다 얇다 고프다 수줍다 오래다 뒤늦다 이렇다 뽀얗다 낯설다 아프다 멋있다 지겹다 넓다랗다 비싸다 부럽다 놀랍다 싸다 비리다 드넓다 그립다 세다 적다 즐겁다 흐리다 덥다,1
대신공원,틀리다 쪼그맣다 발다 귀찮다 그럴싸하다 성가시다 나쁘다 파라다 폭넓다 낡다  어떠다 미심쩍다 드높다 저렇다 웃다 빡빡하다 냅다 찐하다 되다 해맑다 뜬금없다 야물딱지다 그리우다 손쉽다 차갑다 이쁘다 거침없다 못지않다 조그맣다 알차다 하릴없다 번거롭다 존다 시퍼렇다 젊다 값지다 따갑다 친하다 용하다 우중충하다 곧다 값싸다 무덥다 름없다 이릏다 느리다 여깄다 곱다 낮다 속상하다 요렇다 사이좋다 얄궂다 아름답다 특출나다 게으르다 맛없다 실없다 야하다 틀림없다 천하다 고르다 재미나다 검붉다 스럽다 수줍다 뒤늦다 뽀얗다 거세다 기다 지겹다 냉하다 벅차다 혹하다 뿌옇다 놀랍다 부러우다 찰지다 깜다 비리다 억세다 없잖다 아쉬우다 앙증맞다 싶다 쓸데없다 어리다 어림없다 덜하다 두려우다 주옥같다 단촐하다 따시다 징그럽다 나뿌다 족하다 추우다 안녕하다 어두우다 세차다 비좁다 대차다 사납다 지나치다 쌔다 넒다 둥글다 짜다 맛나다 붉다 익다 심심찮다 눅다 멀다 부끄럽다 외지다 구다 졸리다 푸르다 서럽다 정겹다 힘차다 새빨갛다 부끄러우다 어이없다 척하다 따사롭다 매섭다 어려우다 기막히다 남부럽다 묘하다 쩔다 덩그러다 지대다 기차다 똑같다 진하다 어렵다 옴팡지다 맑디맑다 어떻다 잦다 이롭다 푸지다 상관없다 맑다 좁다 질기다 언짢다 귀여우다 빨갛다 고마우다 무섭다 부시다 힘드다 고맙다 배고프다 어딨다 무지하다 어떻하다 도지다 살갑다 박하다 새롭다 급하다 아까우다 하얗다 고렇다 활기차다 뻔질나다 아깝다 과하다 오래다 이렇다 희다 아프다 슴슴하다 그지없다 감질나다 오지다 뻔하다 흐드러지다 아푸다 지겨우다 땡그랗다 빡세다 낄다 시원찮다 차겁다 빡시다 덥다 굳세다 싱그럽다 아름다우다 멋없다 환하다 어지럽다 어둡다 청승맞다 갑작스럽다 즐거다 예뿌다 짙다 기똥차다 잽싸다 밉다 얼큰하다 두렵다 하찮다 촌스럽다 기쁘다 슬프다 밤늦다 뜻깊다 애꿎다 조다 갓다 맵다 춥다 인상깊다 우연찮다 더러우다 쬐그맣다 굵다 시끄러우다 시끄럽다 읎다 드물다 좁디좁다 파랗다 지긋지긋하다 가깝다 궂다 우하다 반갑다 뜨거우다 찡하다 걷다 드럽다 가볍다 안쓰럽다 씨다 까지다 멋지다 수많다 굳다 기름지다 노오랗다 빠르다 부드러우다 얕다 그릏다 변함없다 험하다 정신없다 거칠다 보드랍다 더럽다 넓디넓다 배부르다 약하다 저리다 어마다 습하다 싫다 더우다 시리다 시뻘겋다 어두다 짠하다 업다 머다 드세다 동그랗다 심하다 짝다 두껍다 예뻤다 승하다 덧없다 밝다 새하얗다 쨍하다 훤하다 염하다 귀하다 부드럽다 죠다 까맣다 깜찍하다 재미없다 서툴다 고프다 쓰리다 낯설다 옳다 머지않다 노랗다 푸르르다 시다 괴롭다 넓다랗다 비싸다 뜨다 잘다 고되다 남다르다 따스다 적다 만만찮다 낯익다 즐겁다 역겹다 흐리다 힘겹다 가쁘다 메스껍다 달큰하다 겉다 찹다 바르다 쎄다 연하다 귀엽다 후하다 어리석다 얄짤없다 구찮다 가없다 차다 커다랗다 낫다 독하다 시덥잖다 따숩다 민하다 가렵다 소용없다 글다 헐벗다 재미있다 온데간데없다 까다롭다 가늘다 외다 가파르다 싱겁다 기다랗다 옅다 고파다 누렇다 아파다 비뚤다 엄청나다 휑하다 눈부시다 쓸모있다 아무렇다 외롭다 멋쩍다 재빠르다 걸맞다 뛰어나다 빼어나다 강하다 알맞다 대수롭다 재다 멋적다 착하다 뜨겁다 감명깊다 놉다 자그맣다 웁다 손색없다 감쪽같다 구리다 깊다 요상하다 익살맞다 흔하다 바쁘다 탁하다 섭하다 색다르다 야무지다 어설프다 우습다 벌겋다 실하다 무서우다 미끄럽다 검다 거하다 아리다 나다 순하다 묽다  무겁다 얇다 끊임없다 정답다 동그라다 재수없다 멋있다 얄밉다 슬푸다 안타깝다 끝없다 부럽다 싸다 역하다 그립다 드넓다 세다 철없다 기나길다 가까우다,0
대저생태공원,싱그럽다 틀리다 발다 쪼그맣다 덜하다 환하다 귀찮다 어둡다 겉다 찹다 바르다 그럴싸하다 쎄다 연하다 귀엽다 징그럽다 갑작스럽다 즐거다 예뿌다 구찮다 짙다 나쁘다 차다 커다랗다 낫다 안녕하다 세차다 잽싸다 어떠다  두드러지다 따숩다 가렵다 소용없다 볼품없다 드높다 촌스럽다 지나치다 넒다 하찮다 기쁘다 재미있다 슬프다 밤늦다 뜻깊다 쌔다 너르다 가늘다 가파르다 조다 시커멓다 붉다 옅다 맛나다 갓다 맵다 누렇다 저렇다 부끄럽다 멀다 춥다 인상깊다 엄청나다 휑하다 우연찮다 더러우다 찐하다 푸르다 굵다 눈부시다 해맑다 뻘겋다 날쌔다 나즈막하다 뜬금없다 시끄럽다 드물다 정겹다 힘차다 후덥다 앙하다 파랗다 가깝다 까슬하다 쉬우다 아무렇다 궂다 반갑다 손쉽다 우렁차다 차갑다 찡하다 이쁘다 걸맞다 어이없다 간지럽다 가볍다 쪼끄맣다 못지않다 가느다 뛰어나다 경이롭다 매섭다 물씬하다 따사롭다 강하다 알맞다 조그맣다 수많다 멋지다 굳다 멀겋다 파아랗다 알차다 어려우다 유별나다 노오랗다 기름지다 번거롭다 빠르다 존다 묘하다 젊다 쩔다 꺼멓다 덩그러다 서글프다 따갑다 무르다 얕다 착하다 똑같다 진하다 어렵다 쫀쫀하다 목마르다 뜨겁다 개구지다 험하다 놉다 어떻다 정신없다 잦다 곧다 마땅찮다 손색없다 름없다 만다 더럽다 구리다 깊다 상관없다 넓디넓다 배부르다 저리다 이릏다 약하다 맑다 느리다 좁다 질기다 여깄다 흔하다 곱다 낮다 바쁘다 힘겹다 더우다 싫다 길다랗다 섭하다 귀여우다 습하다 시리다 색다르다 빨갛다 야무지다 무섭다 부시다 속상하다 힘드다 머다 드세다 끈질기다 고맙다 동그랗다 벌겋다 요렇다 심하다 배고프다 아름답다 어딨다 예뻤다 두껍다 짝다 무시다 실하다 쑥쓰럽다 무지하다 어떻하다 게으르다 밝다 밭다 박하다 검다 새롭다 맛없다 쨍하다 급하다 훤하다 아까우다 하얗다 귀하다 부드럽다 죠다 까맣다 틀림없다 묽다  습지다 무겁다 아깝다 재미없다 재미나다 서툴다 얇다 스럽다 고르다 과하다 문제없다 수줍다 고프다 오래다 뒤늦다 무거우다 형편없다 이렇다 희다 낯설다 옳다 머지않다 노랗다 아프다 거세다 인정사정없다 버얼겋다 멋있다 샛노랗다 기다 괴롭다 지겹다 오지다 안타깝다 비싸다 부럽다 뜨다 잘다 뿌옇다 놀랍다 영하다 싸다 흐드러지다 깜다 그립다 드넓다 억세다 비리다 세다 아쉬우다 적다 만만찮다 어여쁘다 더디다 지겨우다 앙증맞다 빡세다 싶다 머얼다 즐겁다 흐리다 덥다 어리다 가까우다,0
